Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
A01;SYBR;;Unkn;BR 200 ng;38580.15;;Unknown;Unassigned;FALSE
A02;SYBR;;Unkn;BR_LAZ19-19;11039.4;;Unknown;Unassigned;FALSE
A03;SYBR;;Unkn;BR_LAZ19-29;4915.22;;Unknown;Unassigned;FALSE
A08;SYBR;;Unkn;HS_LAZ19-33;6619.8;;Unknown;Unassigned;FALSE
A09;SYBR;;Unkn;HS_LAZ19-17;4807.63;;Unknown;Unassigned;FALSE
A10;SYBR;;Unkn;HS_LAZ19-9;5094.86;;Unknown;Unassigned;FALSE
A11;SYBR;;Unkn;HS_LAZ19-1;5147.48;;Unknown;Unassigned;FALSE
A12;SYBR;;Unkn;HS 20 ng;36733.02;;Unknown;Unassigned;FALSE
B01;SYBR;;Unkn;BR 200 ng;38187.5;;Unknown;Unassigned;FALSE
B02;SYBR;;Unkn;BR_LAZ19-20;4651.19;;Unknown;Unassigned;FALSE
B03;SYBR;;Unkn;BR_LAZ19-31;7165.85;;Unknown;Unassigned;FALSE
B08;SYBR;;Unkn;HS_LAZ19-34;7303.62;;Unknown;Unassigned;FALSE
B09;SYBR;;Unkn;HS_LAZ19-18;4660.81;;Unknown;Unassigned;FALSE
B10;SYBR;;Unkn;HS_LAZ19-10;4797.43;;Unknown;Unassigned;FALSE
B11;SYBR;;Unkn;HS_LAZ19-2;4985.49;;Unknown;Unassigned;FALSE
B12;SYBR;;Unkn;HS 20 ng;37442.48;;Unknown;Unassigned;FALSE
C01;SYBR;;Unkn;BR 200 ng;38289.67;;Unknown;Unassigned;FALSE
C02;SYBR;;Unkn;BR_LAZ19-22;5439.86;;Unknown;Unassigned;FALSE
C03;SYBR;;Unkn;BR_LAZ19-32;6230.1;;Unknown;Unassigned;FALSE
C08;SYBR;;Unkn;HS_LAZ19-35;11125.76;;Unknown;Unassigned;FALSE
C09;SYBR;;Unkn;HS_LAZ19-20;8662.45;;Unknown;Unassigned;FALSE
C10;SYBR;;Unkn;HS_LAZ19-11;4872.49;;Unknown;Unassigned;FALSE
C11;SYBR;;Unkn;HS_LAZ19-3;4569.14;;Unknown;Unassigned;FALSE
C12;SYBR;;Unkn;HS 20 ng;42398.86;;Unknown;Unassigned;FALSE
D01;SYBR;;Unkn;BR 200 ng;37435.5;;Unknown;Unassigned;FALSE
D02;SYBR;;Unkn;BR_LAZ19-23;7723.2;;Unknown;Unassigned;FALSE
D03;SYBR;;Unkn;BR_LAZ19-35;4783.03;;Unknown;Unassigned;FALSE
D08;SYBR;;Unkn;HS_LAZ19-36;13296.64;;Unknown;Unassigned;FALSE
D09;SYBR;;Unkn;HS_LAZ19-21;5469.21;;Unknown;Unassigned;FALSE
