,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,BR 0 ng,4920.87661420072,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,BR 0 ng,4813.89549643418,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,BR 0 ng,4923.87570367184,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,BR 0 ng,4892.42866842393,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,BR 200 ng,10295.5665165269,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,BR 200 ng,10221.8595514093,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,BR 200 ng,10088.4713351581,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,BR 200 ng,10145.5177767835,,Unknown,Unassigned,False
,A02,SYBR_,,Unkn,BR_ A_BR_,5201.1864948475,,Unknown,Unassigned,False
,B02,SYBR_,,Unkn,BR_ B_BR_,5552.24886193202,,Unknown,Unassigned,False
,C02,SYBR_,,Unkn,BR_ C_BR_,5719.38322962299,,Unknown,Unassigned,False
,D02,SYBR_,,Unkn,BR_ D_BR_,6110.43975114252,,Unknown,Unassigned,False
,E02,SYBR_,,Unkn,BR_ E_BR_,6467.19152367272,,Unknown,Unassigned,False
,F02,SYBR_,,Unkn,BR_ F_BR_,6682.72133437091,,Unknown,Unassigned,False
,G02,SYBR_,,Unkn,BR_ G_BR_,7064.25750516084,,Unknown,Unassigned,False
,H02,SYBR_,,Unkn,BR_ H_BR_,7185.17465994749,,Unknown,Unassigned,False
,A03,SYBR_,,Unkn,BR_ A_BR_,5214.41296928578,,Unknown,Unassigned,False
,B03,SYBR_,,Unkn,BR_ B_BR_,5263.98965006669,,Unknown,Unassigned,False
,C03,SYBR_,,Unkn,BR_ C_BR_,5536.64453462484,,Unknown,Unassigned,False
,D03,SYBR_,,Unkn,BR_ D_BR_,6062.29087136521,,Unknown,Unassigned,False
,E03,SYBR_,,Unkn,BR_ E_BR_,6312.02160545804,,Unknown,Unassigned,False
,F03,SYBR_,,Unkn,BR_ F_BR_,6728.11654195906,,Unknown,Unassigned,False
,G03,SYBR_,,Unkn,BR_ G_BR_,6833.59768114421,,Unknown,Unassigned,False
,H03,SYBR_,,Unkn,BR_ H_BR_,7218.68689328892,,Unknown,Unassigned,False
,A04,SYBR_,,Unkn,BR_ A_BR_,5224.73110074708,,Unknown,Unassigned,False
,B04,SYBR_,,Unkn,BR_ B_BR_,5297.37471531479,,Unknown,Unassigned,False
,C04,SYBR_,,Unkn,BR_ C_BR_,5452.86322996956,,Unknown,Unassigned,False
,D04,SYBR_,,Unkn,BR_ D_BR_,5808.34011991748,,Unknown,Unassigned,False
,E04,SYBR_,,Unkn,BR_ E_BR_,6215.9334737211,,Unknown,Unassigned,False
,F04,SYBR_,,Unkn,BR_ F_BR_,6575.56539963636,,Unknown,Unassigned,False
,G04,SYBR_,,Unkn,BR_ G_BR_,6780.65146429543,,Unknown,Unassigned,False
,H04,SYBR_,,Unkn,BR_ H_BR_,7043.07402579724,,Unknown,Unassigned,False
,A05,SYBR_,,Unkn,BR_ A_BR_,5203.397761528,,Unknown,Unassigned,False
,B05,SYBR_,,Unkn,BR_ B_BR_,5273.81514468511,,Unknown,Unassigned,False
,C05,SYBR_,,Unkn,BR_ C_BR_,5665.42976561416,,Unknown,Unassigned,False
,D05,SYBR_,,Unkn,BR_ D_BR_,5947.27842394579,,Unknown,Unassigned,False
,E05,SYBR_,,Unkn,BR_ E_BR_,6377.12713044326,,Unknown,Unassigned,False
,F05,SYBR_,,Unkn,BR_ F_BR_,6401.23672588042,,Unknown,Unassigned,False
,G05,SYBR_,,Unkn,BR_ G_BR_,6828.3944568918,,Unknown,Unassigned,False
,H05,SYBR_,,Unkn,BR_ H_BR_,7088.69699504967,,Unknown,Unassigned,False
,A06,SYBR_,,Unkn,BR_ A_BR_,5159.73580385333,,Unknown,Unassigned,False
,B06,SYBR_,,Unkn,BR_ B_BR_,5204.91159046139,,Unknown,Unassigned,False
,C06,SYBR_,,Unkn,BR_ C_BR_,5580.70008342533,,Unknown,Unassigned,False
,D06,SYBR_,,Unkn,BR_ D_BR_,5922.81943938801,,Unknown,Unassigned,False
,E06,SYBR_,,Unkn,BR_ E_BR_,6402.08893567103,,Unknown,Unassigned,False
,F06,SYBR_,,Unkn,BR_ F_BR_,6545.21860962565,,Unknown,Unassigned,False
,G06,SYBR_,,Unkn,BR_ G_BR_,6862.54867227707,,Unknown,Unassigned,False
,H06,SYBR_,,Unkn,BR_ H_BR_,7218.43625511942,,Unknown,Unassigned,False
,A07,SYBR_,,Unkn,HS_ H_HS_,35893.7616028264,,Unknown,Unassigned,False
,B07,SYBR_,,Unkn,HS_ G_HS_,35881.4303242078,,Unknown,Unassigned,False
,C07,SYBR_,,Unkn,HS_ F_HS_,33050.6026852609,,Unknown,Unassigned,False
,D07,SYBR_,,Unkn,HS_ E_HS_,27763.2613402058,,Unknown,Unassigned,False
,E07,SYBR_,,Unkn,HS_ D_HS_,22395.688924443,,Unknown,Unassigned,False
,F07,SYBR_,,Unkn,HS_ C_HS_,18690.2731180229,,Unknown,Unassigned,False
,G07,SYBR_,,Unkn,HS_ B_HS_,14459.1907409095,,Unknown,Unassigned,False
,H07,SYBR_,,Unkn,HS_ A_HS_,9846.86763625964,,Unknown,Unassigned,False
,A08,SYBR_,,Unkn,HS_ H_HS_,37378.898836013,,Unknown,Unassigned,False
,B08,SYBR_,,Unkn,HS_ G_HS_,34197.237032547,,Unknown,Unassigned,False
,C08,SYBR_,,Unkn,HS_ F_HS_,31304.2369191737,,Unknown,Unassigned,False
,D08,SYBR_,,Unkn,HS_ E_HS_,27836.5991827901,,Unknown,Unassigned,False
,E08,SYBR_,,Unkn,HS_ D_HS_,24470.2517780006,,Unknown,Unassigned,False
,F08,SYBR_,,Unkn,HS_ C_HS_,19287.6379011743,,Unknown,Unassigned,False
,G08,SYBR_,,Unkn,HS_ B_HS_,13888.8984676847,,Unknown,Unassigned,False
,H08,SYBR_,,Unkn,HS_ A_HS_,9795.01208652981,,Unknown,Unassigned,False
,A09,SYBR_,,Unkn,HS_ H_HS_,36278.2502383962,,Unknown,Unassigned,False
,B09,SYBR_,,Unkn,HS_ G_HS_,34550.036488694,,Unknown,Unassigned,False
,C09,SYBR_,,Unkn,HS_ F_HS_,25488.9443506787,,Unknown,Unassigned,False
,D09,SYBR_,,Unkn,HS_ E_HS_,27641.4981126258,,Unknown,Unassigned,False
,E09,SYBR_,,Unkn,HS_ D_HS_,22488.5648087372,,Unknown,Unassigned,False
,F09,SYBR_,,Unkn,HS_ C_HS_,18093.6441413084,,Unknown,Unassigned,False
,G09,SYBR_,,Unkn,HS_ B_HS_,13890.3988326582,,Unknown,Unassigned,False
,H09,SYBR_,,Unkn,HS_ A_HS_,9355.61459137637,,Unknown,Unassigned,False
,A10,SYBR_,,Unkn,HS_ H_HS_,36560.1092703637,,Unknown,Unassigned,False
,B10,SYBR_,,Unkn,HS_ G_HS_,33028.5202531068,,Unknown,Unassigned,False
,C10,SYBR_,,Unkn,HS_ F_HS_,31254.3697071402,,Unknown,Unassigned,False
