,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,BR 0 ng,4014.08123074133,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,BR 0 ng,4055.13201848706,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,BR 0 ng,4129.79768858461,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,BR 0 ng,4098.75223625256,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,BR 200 ng,11095.7097074914,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,BR 200 ng,10932.0835207864,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,BR 200 ng,11049.2270256837,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,BR 200 ng,11082.7591636257,,Unknown,Unassigned,False
,A02,SYBR_,,Unkn,BR_ A_BR_,4565.80430810203,,Unknown,Unassigned,False
,B02,SYBR_,,Unkn,BR_ B_BR_,5163.01044407066,,Unknown,Unassigned,False
,C02,SYBR_,,Unkn,BR_ C_BR_,5345.08861089778,,Unknown,Unassigned,False
,D02,SYBR_,,Unkn,BR_ D_BR_,5855.75859968109,,Unknown,Unassigned,False
,E02,SYBR_,,Unkn,BR_ E_BR_,6284.06578268753,,Unknown,Unassigned,False
,F02,SYBR_,,Unkn,BR_ F_BR_,6598.08281263543,,Unknown,Unassigned,False
,G02,SYBR_,,Unkn,BR_ G_BR_,7130.8980861161,,Unknown,Unassigned,False
,H02,SYBR_,,Unkn,BR_ H_BR_,7383.23791667397,,Unknown,Unassigned,False
,A03,SYBR_,,Unkn,BR_ A_BR_,4656.42536605914,,Unknown,Unassigned,False
,B03,SYBR_,,Unkn,BR_ B_BR_,5005.20312143525,,Unknown,Unassigned,False
,C03,SYBR_,,Unkn,BR_ C_BR_,5348.36877972271,,Unknown,Unassigned,False
,D03,SYBR_,,Unkn,BR_ D_BR_,5878.15398533202,,Unknown,Unassigned,False
,E03,SYBR_,,Unkn,BR_ E_BR_,6165.91620375305,,Unknown,Unassigned,False
,F03,SYBR_,,Unkn,BR_ F_BR_,6786.18156013713,,Unknown,Unassigned,False
,G03,SYBR_,,Unkn,BR_ G_BR_,6940.90869591229,,Unknown,Unassigned,False
,H03,SYBR_,,Unkn,BR_ H_BR_,7412.46919227341,,Unknown,Unassigned,False
