Well;Fluor;Content;Sample;End RFU;Call
A01;SYBR;Unkn;BR_STD1;4910;
A02;SYBR;Unkn;BR_WZA_2;5702;
A03;SYBR;Unkn;BR_STD2;5126;
A10;SYBR;Unkn;BR_WZA_3;18577;
A11;SYBR;Unkn;BR_STD3;43650;
A12;SYBR;Unkn;BR_WZA_4;7129;
B01;SYBR;Unkn;BR_STD4;4904;
B02;SYBR;Unkn;BR_WZA_5;5626;
B03;SYBR;Unkn;BR_STD5;5471;
B10;SYBR;Unkn;BR_WZA_6;37193;
B11;SYBR;Unkn;BR_STD6;45961;
B12;SYBR;Unkn;BR_WZA_7;6827;
C01;SYBR;Unkn;BR_STD7;4981;
C02;SYBR;Unkn;BR_WZA_8;5536;
C03;SYBR;Unkn;BR_STD8;4904;
C10;SYBR;Unkn;BR_WZA_9;14686;
C11;SYBR;Unkn;BR_STD9;43217;
C12;SYBR;Unkn;BR_WZA_10;5703;
D01;SYBR;Unkn;BR_STD10;4932;
D02;SYBR;Unkn;BR_WZA_11;5103;
D03;SYBR;Unkn;BR_STD11;4820;
D10;SYBR;Unkn;BR_WZA_12;4943;
D11;SYBR;Unkn;BR_STD12;20740;
D12;SYBR;Unkn;BR_WZA_13;5395;
E01;SYBR;Unkn;BR_STD13;10146;
E02;SYBR;Unkn;BR_WZA_14;5694;
E11;SYBR;Unkn;BR_STD14;46683;
E12;SYBR;Unkn;BR_WZA_15;42184;
F01;SYBR;Unkn;BR_STD15;11120;
F02;SYBR;Unkn;BR_WZA_16;5700;
F11;SYBR;Unkn;BR_STD16;40696;
F12;SYBR;Unkn;BR_WZA_17;43221;
G01;SYBR;Unkn;BR_STD17;11106;
G02;SYBR;Unkn;BR_WZA_18;5224;
G11;SYBR;Unkn;BR_STD18;21324;
G12;SYBR;Unkn;BR_WZA_19;43177;
H01;SYBR;Unkn;BR_STD19;11130;
H02;SYBR;Unkn;BR_WZA_20;4804;
H11;SYBR;Unkn;BR_STD20;12960;
H12;SYBR;Unkn;BR_WZA_21;42744;
