;Well;Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
;1;A01;SYBR;;Unkn;BR 0 ng;3348,077118;;Unknown;Unassigned;FALSE
;1;B01;SYBR;;Unkn;BR 0 ng;3500,391179;;Unknown;Unassigned;FALSE
;1;C01;SYBR;;Unkn;BR 0 ng;3754,066841;;Unknown;Unassigned;FALSE
;1;D01;SYBR;;Unkn;BR 0 ng;3719,051588;;Unknown;Unassigned;FALSE
;1;E01;SYBR;;Unkn;BR 200 ng;8460,523996;;Unknown;Unassigned;FALSE
;1;F01;SYBR;;Unkn;BR 200 ng;8170,046014;;Unknown;Unassigned;FALSE
;1;G01;SYBR;;Unkn;BR 200 ng;8561,636994;;Unknown;Unassigned;FALSE
;1;H01;SYBR;;Unkn;BR 200 ng;8051,366836;;Unknown;Unassigned;FALSE
1;2;A02;SYBR;;Unkn;BR_WZM-1;4266,414142;;Unknown;Unassigned;FALSE
2;2;B02;SYBR;;Unkn;BR_WZM-2;4564,610782;;Unknown;Unassigned;FALSE
3;2;C02;SYBR;;Unkn;BR_WZM-3;3952,215402;;Unknown;Unassigned;FALSE
4;2;D02;SYBR;;Unkn;BR_WZM-4;4290,778732;;Unknown;Unassigned;FALSE
5;2;E02;SYBR;;Unkn;BR_WZM-5;4492,649024;;Unknown;Unassigned;FALSE
6;2;F02;SYBR;;Unkn;BR_WZM-6;4082,044646;;Unknown;Unassigned;FALSE
7;2;G02;SYBR;;Unkn;BR_WZM-7;4453,887398;;Unknown;Unassigned;FALSE
8;2;H02;SYBR;;Unkn;BR_WZM-8;4050,987528;;Unknown;Unassigned;FALSE
9;3;A03;SYBR;;Unkn;BR_WZM-9;4311,343277;;Unknown;Unassigned;FALSE
10;3;B03;SYBR;;Unkn;BR_WZM-10;3774,998802;;Unknown;Unassigned;FALSE
11;3;C03;SYBR;;Unkn;BR_WZM-11;4223,102515;;Unknown;Unassigned;FALSE
12;3;D03;SYBR;;Unkn;BR_WZM-12;4106,973778;;Unknown;Unassigned;FALSE
13;3;E03;SYBR;;Unkn;BR_WZM-13;4260,076343;;Unknown;Unassigned;FALSE
