;Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
;A01;SYBR;;Unkn;BR 0 ng;3175,97535419414;;Unknown;Unassigned;False
;B01;SYBR;;Unkn;BR 0 ng;3194,14632602774;;Unknown;Unassigned;False
;C01;SYBR;;Unkn;BR 0 ng;3249,80393883182;;Unknown;Unassigned;False
;D01;SYBR;;Unkn;BR 0 ng;3285,67356067911;;Unknown;Unassigned;False
;E01;SYBR;;Unkn;BR 200 ng;9217,47351694163;;Unknown;Unassigned;False
;F01;SYBR;;Unkn;BR 200 ng;10086,718394865;;Unknown;Unassigned;False
;G01;SYBR;;Unkn;BR 200 ng;10263,7629593577;;Unknown;Unassigned;False
;H01;SYBR;;Unkn;BR 200 ng;9679,23835866878;;Unknown;Unassigned;False
;A02;SYBR;;Unkn;BR_WZN-1;4175,4644377692;;Unknown;Unassigned;False
;B02;SYBR;;Unkn;BR_WZN-2;4042,61172752107;;Unknown;Unassigned;False
;C02;SYBR;;Unkn;BR_WZN-3;4048,10783597111;;Unknown;Unassigned;False
;D02;SYBR;;Unkn;BR_WZN-4;3389,42919748962;;Unknown;Unassigned;False
;E02;SYBR;;Unkn;BR_WZN-5;3471,64686172438;;Unknown;Unassigned;False
;F02;SYBR;;Unkn;BR_WZN-6;3383,07871351614;;Unknown;Unassigned;False
;G02;SYBR;;Unkn;BR_WZN-7;3302,52954562769;;Unknown;Unassigned;False
;H02;SYBR;;Unkn;BR_WZN-8;3414,18754611032;;Unknown;Unassigned;False
;A03;SYBR;;Unkn;BR_WZN-9;3598,78096481391;;Unknown;Unassigned;False
;B03;SYBR;;Unkn;BR_WZN-10;3731,80567241899;;Unknown;Unassigned;False
;C03;SYBR;;Unkn;BR_WZN-11;3785,46470033214;;Unknown;Unassigned;False
;D03;SYBR;;Unkn;BR_WZN-12;3678,63238455929;;Unknown;Unassigned;False
;E03;SYBR;;Unkn;BR_WZN-13;3288,38160417145;;Unknown;Unassigned;False
;F03;SYBR;;Unkn;BR_WZN-14;4679,76556769245;;Unknown;Unassigned;False
;G03;SYBR;;Unkn;BR_WZN-15;3575,03459496855;;Unknown;Unassigned;False
;H03;SYBR;;Unkn;BR_WZN-16;3692,89816250263;;Unknown;Unassigned;False
;A04;SYBR;;Unkn;BR_WZN-17;3321,81886623327;;Unknown;Unassigned;False
;B04;SYBR;;Unkn;BR_WZN-18;3573,45685467441;;Unknown;Unassigned;False
;C04;SYBR;;Unkn;BR_WZN-19;3193,17313814568;;Unknown;Unassigned;False
;D04;SYBR;;Unkn;BR_WZN-20;3408,77048325411;;Unknown;Unassigned;False
;E04;SYBR;;Unkn;BR_WZN-21;3315,90215715433;;Unknown;Unassigned;False
;F04;SYBR;;Unkn;BR_WZN-22;3352,65201512057;;Unknown;Unassigned;False
;G04;SYBR;;Unkn;BR_WZN-23;3646,64209600675;;Unknown;Unassigned;False
;H04;SYBR;;Unkn;BR_WZN-24;3576,50767304123;;Unknown;Unassigned;False
;A05;SYBR;;Unkn;BR_WZN-25;3870,81222852755;;Unknown;Unassigned;False
;B05;SYBR;;Unkn;BR_WZN-26;3716,36860467323;;Unknown;Unassigned;False
;C05;SYBR;;Unkn;BR_WZN-27;3921,15768466476;;Unknown;Unassigned;False
;D05;SYBR;;Unkn;BR_WZN-28;3542,21603545597;;Unknown;Unassigned;False
;E05;SYBR;;Unkn;BR_WZN-29;3845,11948291806;;Unknown;Unassigned;False
;F05;SYBR;;Unkn;BR_WZN-30;3792,36777155878;;Unknown;Unassigned;False
;G05;SYBR;;Unkn;BR_WZN-31;3736,86703010296;;Unknown;Unassigned;False
;H05;SYBR;;Unkn;BR_WZN-32;3909,31109224123;;Unknown;Unassigned;False
