Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
A01,SYBR,,Unkn,BR 0 ng,3836.401729,,Unknown,Unassigned,FALSE
B01,SYBR,,Unkn,BR 0 ng,3778.099884,,Unknown,Unassigned,FALSE
C01,SYBR,,Unkn,BR 0 ng,3834.517414,,Unknown,Unassigned,FALSE
D01,SYBR,,Unkn,BR 0 ng,3842.74887,,Unknown,Unassigned,FALSE
E01,SYBR,,Unkn,BR 200 ng,9676.650819,,Unknown,Unassigned,FALSE
F01,SYBR,,Unkn,BR 200 ng,9724.570284,,Unknown,Unassigned,FALSE
G01,SYBR,,Unkn,BR 200 ng,9659.491057,,Unknown,Unassigned,FALSE
H01,SYBR,,Unkn,BR 200 ng,9564.656322,,Unknown,Unassigned,FALSE
A02,SYBR,,Unkn,BR_WZA-1,4451.14345,,Unknown,Unassigned,FALSE
B02,SYBR,,Unkn,BR_WZA-2,4854.260875,,Unknown,Unassigned,FALSE
C02,SYBR,,Unkn,BR_WZA-3,5022.887917,,Unknown,Unassigned,FALSE
D02,SYBR,,Unkn,BR_WZA-4,5072.59342,,Unknown,Unassigned,FALSE
E02,SYBR,,Unkn,BR_WZA-5,4810.658456,,Unknown,Unassigned,FALSE
F02,SYBR,,Unkn,BR_WZA-6,4728.065908,,Unknown,Unassigned,FALSE
G02,SYBR,,Unkn,BR_WZA-7,4720.624359,,Unknown,Unassigned,FALSE
H02,SYBR,,Unkn,BR_WZA-8,4480.868968,,Unknown,Unassigned,FALSE
A03,SYBR,,Unkn,BR_WZA-9,4247.380103,,Unknown,Unassigned,FALSE
B03,SYBR,,Unkn,BR_WZA-10,4219.82676,,Unknown,Unassigned,FALSE
C03,SYBR,,Unkn,BR_WZA-11,4227.242292,,Unknown,Unassigned,FALSE
D03,SYBR,,Unkn,BR_WZA-12,4500.778833,,Unknown,Unassigned,FALSE
E03,SYBR,,Unkn,BR_WZA-13,4371.106476,,Unknown,Unassigned,FALSE
F03,SYBR,,Unkn,BR_WZA-14,4723.701998,,Unknown,Unassigned,FALSE
G03,SYBR,,Unkn,BR_WZA-15,4681.313359,,Unknown,Unassigned,FALSE
H03,SYBR,,Unkn,BR_WZA-16,4264.142375,,Unknown,Unassigned,FALSE
A04,SYBR,,Unkn,BR_WZA-17,4586.767293,,Unknown,Unassigned,FALSE
B04,SYBR,,Unkn,BR_WZA-18,4489.017998,,Unknown,Unassigned,FALSE
C04,SYBR,,Unkn,BR_WZA-19,4391.695778,,Unknown,Unassigned,FALSE
D04,SYBR,,Unkn,BR_WZA-20,4439.942257,,Unknown,Unassigned,FALSE
E04,SYBR,,Unkn,BR_WZA-21,4659.854138,,Unknown,Unassigned,FALSE
F04,SYBR,,Unkn,BR_WZA-22,4548.233252,,Unknown,Unassigned,FALSE
G04,SYBR,,Unkn,BR_WZA-23,4348.010151,,Unknown,Unassigned,FALSE
H04,SYBR,,Unkn,BR_WZA-24,4702.265409,,Unknown,Unassigned,FALSE
A05,SYBR,,Unkn,BR_WZA-25,4665.802987,,Unknown,Unassigned,FALSE
B05,SYBR,,Unkn,BR_WZA-26,4527.708774,,Unknown,Unassigned,FALSE
C05,SYBR,,Unkn,BR_WZA-27,4784.14992,,Unknown,Unassigned,FALSE
D05,SYBR,,Unkn,BR_WZA-28,4520.510357,,Unknown,Unassigned,FALSE
E05,SYBR,,Unkn,BR_WZA-29,4499.057128,,Unknown,Unassigned,FALSE
F05,SYBR,,Unkn,BR_WZA-30,4580.710558,,Unknown,Unassigned,FALSE
G05,SYBR,,Unkn,BR_WZA-31,4719.48184,,Unknown,Unassigned,FALSE
H05,SYBR,,Unkn,BR_WZA-32,4360.932861,,Unknown,Unassigned,FALSE
A06,SYBR,,Unkn,BR_WZA-33,4672.61261,,Unknown,Unassigned,FALSE
B06,SYBR,,Unkn,BR_WZA-34,4217.623328,,Unknown,Unassigned,FALSE
C06,SYBR,,Unkn,BR_WZA-35,4583.482702,,Unknown,Unassigned,FALSE
D06,SYBR,,Unkn,BR_WZA-36,4476.33801,,Unknown,Unassigned,FALSE
E06,SYBR,,Unkn,BR_WZA-37,4281.34984,,Unknown,Unassigned,FALSE
F06,SYBR,,Unkn,BR_WZA-38,4178.955803,,Unknown,Unassigned,FALSE
G06,SYBR,,Unkn,BR_WZA-39,4199.766629,,Unknown,Unassigned,FALSE
H06,SYBR,,Unkn,BR_WZA-40,4682.535201,,Unknown,Unassigned,FALSE
