,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,BR 0 ng,3247.61206224929,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,BR 0 ng,3259.98442558207,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,BR 0 ng,3308.83156266893,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,BR 0 ng,3309.0048768456,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,BR 200 ng,10999.2235521788,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,BR 200 ng,11155.8246419974,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,BR 200 ng,11237.3639232221,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,BR 200 ng,11042.50587694,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,BR_WZA-1,4151.23702507773,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,BR_WZA-2,4778.53910574101,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,BR_WZA-3,4960.68839578087,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,BR_WZA-4,5076.32522220577,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,BR_WZA-5,4677.15943387574,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,BR_WZA-6,4590.67907766927,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,BR_WZA-7,4586.14125263449,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,BR_WZA-8,4357.14121627778,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,BR_WZA-9,3921.55919399166,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,BR_WZA-10,4053.20743867459,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,BR_WZA-11,4077.05483127968,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,BR_WZA-12,4344.8691538143,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,BR_WZA-13,4188.82217395258,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,BR_WZA-14,4672.47519338085,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,BR_WZA-15,4607.62785252718,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,BR_WZA-16,4050.49118156329,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,BR_WZA-17,4378.50308618502,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,BR_WZA-18,4420.18854466678,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,BR_WZA-19,4349.85214825808,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,BR_WZA-20,4412.27264154753,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,BR_WZA-21,4620.08142506108,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,BR_WZA-22,4495.80961673204,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,BR_WZA-23,4248.4037246256,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,BR_WZA-24,4706.78759490355,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,BR_WZA-25,4557.31675697091,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,BR_WZA-26,4471.99695082799,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,BR_WZA-27,4930.14959871778,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,BR_WZA-28,4504.54107682667,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,BR_WZA-29,4468.87845371508,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,BR_WZA-30,4577.03925725938,,Unknown,Unassigned,False
,G05,SYBR,,Unkn,BR_WZA-31,4699.37579776299,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,BR_WZA-32,4231.13221690069,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,BR_WZA-33,4631.83883262699,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,BR_WZA-34,4151.87857440351,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,BR_WZA-35,4649.54183886287,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,BR_WZA-36,4533.23700456476,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,BR_WZA-37,4262.87007091582,,Unknown,Unassigned,False
,F06,SYBR,,Unkn,BR_WZA-38,4140.32666652329,,Unknown,Unassigned,False
,G06,SYBR,,Unkn,BR_WZA-39,4155.68643096114,,Unknown,Unassigned,False
,H06,SYBR,,Unkn,BR_WZA-40,4681.12188410054,,Unknown,Unassigned,False
