,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,BR 0 ng,3913.02811036339,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,BR 0 ng,3899.09818112154,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,BR 0 ng,3959.94629992784,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,BR 0 ng,3962.43850862518,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,BR 200 ng,10473.9010484414,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,BR 200 ng,10457.1594598144,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,BR 200 ng,10423.9676866389,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,BR 200 ng,10332.1990810164,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,BR_WZJn-1,4417.79249340951,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,BR_WZJn-2,4764.33409581199,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,BR_WZJn-3,4559.77915277765,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,BR_WZJn-4,4327.27047609187,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,BR_WZJn-5,5088.24195067903,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,BR_WZJn-6,4013.27189024151,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,BR_WZJn-7,4022.8512942134,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,BR_WZJn-8,4112.44781896827,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,BR_WZJn-9,4025.77263174969,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,BR_WZJn-10,3871.33610873282,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,BR_WZJn-11,4635.82244377415,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,BR_WZJn-12,4538.95675386743,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,BR_WZJn-13,4709.17380697223,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,BR_WZJn-14,5695.50494151272,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,BR_WZJn-15,4734.52835908542,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,BR_WZJn-16,4873.91806054637,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,BR_WZJn-17,4478.9992317939,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,BR_WZJn-18,4274.43211152459,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,BR_WZJn-19,3989.92489423365,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,BR_WZJn-20,4356.36749185263,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,BR_WZJn-21,4382.27711960722,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,BR_WZJn-22,4286.60153792157,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,BR_WZJn-23,4430.7008723355,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,BR_WZJn-24,4348.22014205922,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,BR_WZJn-25,4401.95863706639,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,BR_WZJn-26,4545.58886046455,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,BR_WZJn-27,4292.09437769684,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,BR_WZJn-28,4356.31192144989,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,BR_WZJn-29,4364.4584011505,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,BR_WZJn-30,4508.91374732347,,Unknown,Unassigned,False
,G05,SYBR,,Unkn,BR_WZJn-31,4698.07498430661,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,BR_WZJn-32,4414.69220983097,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,BR_WZJn-33,4450.39867767849,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,BR_WZJn-34,4102.01873572622,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,BR_WZJn-35,4880.41446705659,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,BR_WZJn-36,4755.62275700508,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,BR_WZJn-37,4075.40360962066,,Unknown,Unassigned,False
,F06,SYBR,,Unkn,BR_WZJn-38,4109.34740393116,,Unknown,Unassigned,False
,G06,SYBR,,Unkn,BR_WZJn-39,4210.66644832505,,Unknown,Unassigned,False
,H06,SYBR,,Unkn,BR_WZJn-40,4414.95046571253,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,BR_WZJn-41,4221.70430950754,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,BR_WZJn-42,4147.77776627012,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,BR_WZJn-43,4069.60107091292,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,BR_WZJn-44,3918.80980967917,,Unknown,Unassigned,False
,E07,SYBR,,Unkn,BR_WZJn-45,4006.44127309585,,Unknown,Unassigned,False
,F07,SYBR,,Unkn,BR_WZJn-46,4003.10988543371,,Unknown,Unassigned,False
,G07,SYBR,,Unkn,BR_WZJn-47,4080.52097908993,,Unknown,Unassigned,False
,H07,SYBR,,Unkn,BR_WZJn-48,4271.11628505333,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,BR_Jn mock c2,4739.29700272345,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,BR_Jn NTC1 c2,3720.16942862499,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,BR_Jn NC2 c2,3667.93451916828,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,BR_NC ex c2,3665.19287385914,,Unknown,Unassigned,False
