,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,BR 0 ng,3375.37871870894,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,BR 0 ng,3430.06148455116,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,BR 0 ng,3475.21031617578,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,BR 0 ng,3479.7243615992,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,BR 200 ng,12061.0699584024,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,BR 200 ng,12086.1443186869,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,BR 200 ng,12101.1738512764,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,BR 200 ng,11847.3139386957,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,BR_WZJn-1,4160.874945296,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,BR_WZJn-2,4655.58146984093,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,BR_WZJn-3,4353.12677398597,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,BR_WZJn-4,4079.27346551426,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,BR_WZJn-5,5030.41162885753,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,BR_WZJn-6,3626.65125868093,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,BR_WZJn-7,3666.66070158918,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,BR_WZJn-8,3785.12117893288,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,BR_WZJn-9,3668.97663592374,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,BR_WZJn-10,3608.04282203014,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,BR_WZJn-11,4630.78632491617,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,BR_WZJn-12,4376.75663560464,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,BR_WZJn-13,4584.57427338727,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,BR_WZJn-14,5906.73012811368,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,BR_WZJn-15,4665.98876760431,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,BR_WZJn-16,4788.11025586388,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,BR_WZJn-17,4317.52979179081,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,BR_WZJn-18,4200.38648070364,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,BR_WZJn-19,3869.02164011961,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,BR_WZJn-20,4334.10230587601,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,BR_WZJn-21,4272.4504573356,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,BR_WZJn-22,4160.81397717763,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,BR_WZJn-23,4346.92431290604,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,BR_WZJn-24,4255.58002787879,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,BR_WZJn-25,4229.35824311742,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,BR_WZJn-26,4508.60574102071,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,BR_WZJn-27,4268.72330567995,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,BR_WZJn-28,4300.47320263527,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,BR_WZJn-29,4329.31281250699,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,BR_WZJn-30,4485.59232836933,,Unknown,Unassigned,False
,G05,SYBR,,Unkn,BR_WZJn-31,4709.43188037484,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,BR_WZJn-32,4301.78114817624,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,BR_WZJn-33,4315.72083457396,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,BR_WZJn-34,4006.44804856568,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,BR_WZJn-35,5030.0640117898,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,BR_WZJn-36,4904.53886966142,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,BR_WZJn-37,4028.61302055235,,Unknown,Unassigned,False
,F06,SYBR,,Unkn,BR_WZJn-38,4045.93819685907,,Unknown,Unassigned,False
,G06,SYBR,,Unkn,BR_WZJn-39,4159.80190100733,,Unknown,Unassigned,False
,H06,SYBR,,Unkn,BR_WZJn-40,4332.423359957,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,BR_WZJn-41,4030.10956645461,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,BR_WZJn-42,4064.54956996605,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,BR_WZJn-43,3993.25593958583,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,BR_WZJn-44,3809.90705815809,,Unknown,Unassigned,False
,E07,SYBR,,Unkn,BR_WZJn-45,3956.74380632872,,Unknown,Unassigned,False
,F07,SYBR,,Unkn,BR_WZJn-46,3897.58213882341,,Unknown,Unassigned,False
,G07,SYBR,,Unkn,BR_WZJn-47,4004.51697691361,,Unknown,Unassigned,False
,H07,SYBR,,Unkn,BR_WZJn-48,4136.26460694892,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,BR_Jn mock c2,4713.75698396393,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,BR_Jn NTC1 c2,3522.49723747136,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,BR_Jn NC2 c2,3488.09523592633,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,BR_NC ex c2,3495.08266125588,,Unknown,Unassigned,False
