,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,BR 0 ng,3802.85252840382,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,BR 0 ng,3736.38673586888,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,BR 0 ng,3777.31507088373,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,BR 0 ng,3828.0037114026,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,BR 200 ng,9896.67163787581,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,BR 200 ng,9683.74751295044,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,BR 200 ng,9598.22450822261,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,BR 200 ng,9864.99042853263,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,BR_WZN-1,4527.86136676423,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,BR_WZN-2,4423.97663859504,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,BR_WZN-3,4343.83037821448,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,BR_WZN-4,3900.40667822645,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,BR_WZN-5,3953.44445924725,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,BR_WZN-6,3904.14344796433,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,BR_WZN-7,3840.9987142449,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,BR_WZN-8,3911.550558307,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,BR_WZN-9,4118.18419886645,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,BR_WZN-10,4097.42421833763,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,BR_WZN-11,4093.94637856775,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,BR_WZN-12,4194.70583787674,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,BR_WZN-13,3757.30359227356,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,BR_WZN-14,4952.50913811682,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,BR_WZN-15,3980.76155699264,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,BR_WZN-16,4234.71366009701,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,BR_WZN-17,3926.99876411308,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,BR_WZN-18,3966.39863560268,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,BR_WZN-19,3529.36064299064,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,BR_WZN-20,3792.93560841597,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,BR_WZN-21,3759.66525011688,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,BR_WZN-22,3799.64480165262,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,BR_WZN-23,4122.96063956771,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,BR_WZN-24,4050.3542482372,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,BR_WZN-25,4325.18182310804,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,BR_WZN-26,4070.07121330354,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,BR_WZN-27,4173.0122670152,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,BR_WZN-28,3902.40776295748,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,BR_WZN-29,4147.02031903161,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,BR_WZN-30,4137.03693829128,,Unknown,Unassigned,False
,G05,SYBR,,Unkn,BR_WZN-31,4167.84452145494,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,BR_WZN-32,4407.11624150852,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,BR_WZN-33,4210.59550158049,,Unknown,Unassigned,False
