,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,BR 0 ng,3112.27795007051,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,BR 0 ng,3123.00190636455,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,BR 0 ng,3152.66804296764,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,BR 0 ng,3170.10309369274,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,BR 200 ng,11469.0435776505,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,BR 200 ng,11152.6660701948,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,BR 200 ng,11326.4009223858,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,BR 200 ng,11423.2143607245,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,BR_WZN-1,4156.34865425911,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,BR_WZN-2,4161.4039707457,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,BR_WZN-3,4039.77630091015,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,BR_WZN-4,3484.76751446647,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,BR_WZN-5,3557.92936547824,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,BR_WZN-6,3489.85689011294,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,BR_WZN-7,3426.15534442261,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,BR_WZN-8,3581.86682651121,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,BR_WZN-9,3711.61138863163,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,BR_WZN-10,3846.11424243561,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,BR_WZN-11,3874.22695493842,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,BR_WZN-12,3933.86990845948,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,BR_WZN-13,3373.10268002086,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,BR_WZN-14,4938.79781447549,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,BR_WZN-15,3760.71295145009,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,BR_WZN-16,4029.48395428729,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,BR_WZN-17,3477.90593770831,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,BR_WZN-18,3752.62568793773,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,BR_WZN-19,3250.06138344701,,Unknown,Unassigned,False
