,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,BR 0 ng,3284.09100827658,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,BR 0 ng,3296.77265508934,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,BR 0 ng,3343.90511098474,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,BR 0 ng,3346.00128247898,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,BR 200 ng,10775.1885182466,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,BR 200 ng,10916.7076496011,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,BR 200 ng,10895.9560316355,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,BR 200 ng,10791.5336713758,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,BR_WZA-1,4162.80310736924,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,BR_WZA-2,4720.95813314162,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,BR_WZA-3,4900.21992386763,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,BR_WZA-4,5005.81538533257,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,BR_WZA-5,4626.76798209906,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,BR_WZA-6,4554.09024274034,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,BR_WZA-7,4555.83701540837,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,BR_WZA-8,4342.00382190589,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,BR_WZA-9,3940.04279845994,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,BR_WZA-10,4044.94885306555,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,BR_WZA-11,4063.45840517806,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,BR_WZA-12,4317.36846270782,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,BR_WZA-13,4199.61715157751,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,BR_WZA-14,4632.46737860379,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,BR_WZA-15,4575.42211775084,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,BR_WZA-16,4045.60842460182,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,BR_WZA-17,4403.75656904963,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,BR_WZA-18,4431.91175297221,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,BR_WZA-19,4353.14397642257,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,BR_WZA-20,4361.13294823503,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,BR_WZA-21,4570.24209833131,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,BR_WZA-22,4456.56139200501,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,BR_WZA-23,4205.71270743043,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,BR_WZA-24,4645.35720846537,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,BR_WZA-25,4565.38016454813,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,BR_WZA-26,4471.89589103229,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,BR_WZA-27,5042.94191424403,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,BR_WZA-28,4510.18546613909,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,BR_WZA-29,4471.20515223569,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,BR_WZA-30,4564.9458595333,,Unknown,Unassigned,False
,G05,SYBR,,Unkn,BR_WZA-31,4729.45240739868,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,BR_WZA-32,4210.89613167908,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,BR_WZA-33,4692.40452093477,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,BR_WZA-34,4157.09620017179,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,BR_WZA-35,4656.63455088788,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,BR_WZA-36,4544.25774359094,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,BR_WZA-37,4294.83445321519,,Unknown,Unassigned,False
,F06,SYBR,,Unkn,BR_WZA-38,4153.38994106363,,Unknown,Unassigned,False
,G06,SYBR,,Unkn,BR_WZA-39,4159.27447519244,,Unknown,Unassigned,False
,H06,SYBR,,Unkn,BR_WZA-40,4665.28963796824,,Unknown,Unassigned,False
