,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,BR 0 ng,3343.00706742523,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,BR 0 ng,3380.42263877946,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,BR 0 ng,3428.77337367263,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,BR 0 ng,3444.10308201643,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,BR 200 ng,11740.2242692775,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,BR 200 ng,11699.3401028356,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,BR 200 ng,11666.2752593401,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,BR 200 ng,11229.6524670395,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,BR_WZJn-1,4093.35083466346,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,BR_WZJn-2,4558.91964796565,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,BR_WZJn-3,4281.33800972996,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,BR_WZJn-4,4028.59761648328,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,BR_WZJn-5,4972.23514887842,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,BR_WZJn-6,3581.69382758169,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,BR_WZJn-7,3621.63037336726,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,BR_WZJn-8,3732.35828379313,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,BR_WZJn-9,3627.47512238926,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,BR_WZJn-10,3558.38578066028,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,BR_WZJn-11,4567.50814772643,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,BR_WZJn-12,4299.23391160215,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,BR_WZJn-13,4518.89902499749,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,BR_WZJn-14,5775.50683996596,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,BR_WZJn-15,4588.6081869178,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,BR_WZJn-16,4668.32110044972,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,BR_WZJn-17,4276.74216335121,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,BR_WZJn-18,4120.27616585124,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,BR_WZJn-19,3824.8182581026,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,BR_WZJn-20,4214.26133614964,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,BR_WZJn-21,4197.28761997815,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,BR_WZJn-22,4083.89809802514,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,BR_WZJn-23,4290.24721699272,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,BR_WZJn-24,4170.74619909214,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,BR_WZJn-25,4159.15881419612,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,BR_WZJn-26,4431.24876327343,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,BR_WZJn-27,4210.04961541532,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,BR_WZJn-28,4228.63591193971,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,BR_WZJn-29,4245.52808965881,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,BR_WZJn-30,4393.65782098179,,Unknown,Unassigned,False
,G05,SYBR,,Unkn,BR_WZJn-31,4607.8854858317,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,BR_WZJn-32,4188.61938015032,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,BR_WZJn-33,4249.98234363647,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,BR_WZJn-34,3955.53671123376,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,BR_WZJn-35,4934.45029475389,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,BR_WZJn-36,4765.33761568969,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,BR_WZJn-37,3973.28586504851,,Unknown,Unassigned,False
,F06,SYBR,,Unkn,BR_WZJn-38,3984.22111030361,,Unknown,Unassigned,False
,G06,SYBR,,Unkn,BR_WZJn-39,4073.77397621281,,Unknown,Unassigned,False
,H06,SYBR,,Unkn,BR_WZJn-40,4216.38779691113,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,BR_WZJn-41,4001.67269185113,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,BR_WZJn-42,4001.14714051442,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,BR_WZJn-43,3926.8181642978,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,BR_WZJn-44,3774.30198906153,,Unknown,Unassigned,False
,E07,SYBR,,Unkn,BR_WZJn-45,3904.98697249536,,Unknown,Unassigned,False
,F07,SYBR,,Unkn,BR_WZJn-46,3860.01821872298,,Unknown,Unassigned,False
,G07,SYBR,,Unkn,BR_WZJn-47,3929.05867993518,,Unknown,Unassigned,False
,H07,SYBR,,Unkn,BR_WZJn-48,4030.68219902661,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,BR_Jn mock c2,4653.44458542839,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,BR_Jn NTC1 c2,3490.17730738489,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,BR_Jn NC2 c2,3445.58342973438,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,BR_NC ex c2,3469.64102685538,,Unknown,Unassigned,False
