,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,BR 0 ng,3153.01345901051,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,BR 0 ng,3158.1155700268,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,BR 0 ng,3186.21412046347,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,BR 0 ng,3199.81390059185,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,BR 200 ng,10983.5707329812,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,BR 200 ng,10760.676340927,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,BR 200 ng,10893.2871113903,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,BR 200 ng,11178.4566770885,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,BR_WZN-1,4152.78065101383,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,BR_WZN-2,4153.46872635345,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,BR_WZN-3,4017.15478029599,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,BR_WZN-4,3501.4173193742,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,BR_WZN-5,3561.35897805551,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,BR_WZN-6,3502.0648665621,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,BR_WZN-7,3424.01113325752,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,BR_WZN-8,3552.54409998355,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,BR_WZN-9,3721.6029889487,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,BR_WZN-10,3869.00443870799,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,BR_WZN-11,3862.59783600001,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,BR_WZN-12,3940.93893504412,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,BR_WZN-13,3396.77821807425,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,BR_WZN-14,4909.7384084282,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,BR_WZN-15,3726.55030956306,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,BR_WZN-16,3970.54910330643,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,BR_WZN-17,3498.23382197737,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,BR_WZN-18,3761.2122039504,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,BR_WZN-19,3273.11637444965,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,BR_WZN-20,3571.55717888896,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,BR_WZN-21,3468.98077844297,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,BR_WZN-22,3521.25618058037,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,BR_WZN-23,3960.71530392322,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,BR_WZN-24,3830.22265760412,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,BR_WZN-25,3982.20931484048,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,BR_WZN-26,3826.04023104107,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,BR_WZN-27,4029.60936482758,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,BR_WZN-28,3649.27985116008,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,BR_WZN-29,3990.47234153161,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,BR_WZN-30,3967.00788823317,,Unknown,Unassigned,False
,G05,SYBR,,Unkn,BR_WZN-31,3993.43282029651,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,BR_WZN-32,4186.76173237558,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,BR_WZN-33,3905.85492561246,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,BR_WZN-34,3585.25804843527,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,BR_WZN-35,4296.5035614339,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,BR_WZN-36,3397.73771357498,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,BR_WZN-37,3731.16842192944,,Unknown,Unassigned,False
,F06,SYBR,,Unkn,BR_WZN-38,4202.47792115827,,Unknown,Unassigned,False
,G06,SYBR,,Unkn,BR_WZN-39,3959.88093357789,,Unknown,Unassigned,False
,H06,SYBR,,Unkn,BR_WZN-40,4004.95217059499,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,BR_WZN-41,4145.55151571715,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,BR_WZN-42,4250.79016877953,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,BR_WZN-43,3540.678381145,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,BR_WZN-44,4319.8582531446,,Unknown,Unassigned,False
,E07,SYBR,,Unkn,BR_WZN-45,3969.44975856758,,Unknown,Unassigned,False
,F07,SYBR,,Unkn,BR_WZN-46,4478.73987048466,,Unknown,Unassigned,False
,G07,SYBR,,Unkn,BR_WZN-47,3979.57455840751,,Unknown,Unassigned,False
,H07,SYBR,,Unkn,BR_WZN-48,4556.81487646378,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,BR_WZA-41,4063.63824397813,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,BR_WZA-42,4125.00217355204,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,BR_WZA-43,4001.95219606523,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,BR_WZA-44,4023.4804234781,,Unknown,Unassigned,False
,E08,SYBR,,Unkn,BR_WZA-45,4205.12692464857,,Unknown,Unassigned,False
,F08,SYBR,,Unkn,BR_WZA-46,4260.43596922595,,Unknown,Unassigned,False
,G08,SYBR,,Unkn,BR_WZA-47,4055.7696670233,,Unknown,Unassigned,False
,H08,SYBR,,Unkn,BR_WZA-48,4151.43045171936,,Unknown,Unassigned,False
,A09,SYBR,,Unkn,BR_N mock c2,5000.04150825428,,Unknown,Unassigned,False
,B09,SYBR,,Unkn,BR_N NTC1 c2,3189.80065171731,,Unknown,Unassigned,False
,C09,SYBR,,Unkn,BR_N NC2 c2,3174.12125509098,,Unknown,Unassigned,False
,D09,SYBR,,Unkn,BR_A mock c2,3918.46328474208,,Unknown,Unassigned,False
,E09,SYBR,,Unkn,BR_A NTC1 c2,3261.95033107214,,Unknown,Unassigned,False
,F09,SYBR,,Unkn,BR_A NC2 c2,3199.11346573101,,Unknown,Unassigned,False
