Well;Fluor;Content;Sample;End RFU
A01;SYBR;Unkn;HS 0 ng;4950,82
B01;SYBR;Unkn;HS 0 ng;4720,44
C01;SYBR;Unkn;HS 0 ng;4725,16
D01;SYBR;Unkn;HS 0 ng;4663,29
E01;SYBR;Unkn;HS 20 ng;20119,61
F01;SYBR;Unkn;HS 20 ng;29862,44
G01;SYBR;Unkn;HS 20 ng;27492,44
H01;SYBR;Unkn;HS 20 ng;23953,19
A02;SYBR;Unkn;HS_57;11994,56
B02;SYBR;Unkn;HS_64;29394,47
C02;SYBR;Unkn;HS_NC1;5698,47
D02;SYBR;Unkn;HS_63;26412,35
E02;SYBR;Unkn;HS_29;22796,83
F02;SYBR;Unkn;HS_42;16783,37
G02;SYBR;Unkn;HS_39;27778,76
H02;SYBR;Unkn;HS_NC2;7852,86
A03;SYBR;Unkn;HS_NCA;4928,27
B03;SYBR;Unkn;HS_20L2;20194,91
C03;SYBR;Unkn;HS_NC3;6901,2
D03;SYBR;Unkn;HS_13S;24286,62
E03;SYBR;Unkn;HS_13L;16616,56
F03;SYBR;Unkn;HS_14L;25594,2
G03;SYBR;Unkn;HS_102L;23494,08
H03;SYBR;Unkn;HS_102S;21134,54
A04;SYBR;Unkn;HS_104L;34184,04
B04;SYBR;Unkn;HS_68S;26665,72
C04;SYBR;Unkn;HS_1;16362,75
D04;SYBR;Unkn;HS_2;15920,49
E04;SYBR;Unkn;HS_3;16882,21
F04;SYBR;Unkn;HS_4;14499,74
G04;SYBR;Unkn;HS_5;20150,91
H04;SYBR;Unkn;HS_NC5;10057,7
A05;SYBR;Unkn;HS_6;19883,1
B05;SYBR;Unkn;HS_7;16941,04
C05;SYBR;Unkn;HS_NCB;4861,03
D05;SYBR;Unkn;HS_41;8678,04
E05;SYBR;Unkn;HS_54,1;21024,02
F05;SYBR;Unkn;HS_NC6;7473,37
A02;SYBR;Unkn;BR_133;4968,28
B02;SYBR;Unkn;BR_57;4424,56
C02;SYBR;Unkn;BR_64;4414,81
D02;SYBR;Unkn;BR_NC1;4345,25
E02;SYBR;Unkn;BR_129;5006,68
F02;SYBR;Unkn;BR_132;4724,36
G02;SYBR;Unkn;BR_91;5025,56
H02;SYBR;Unkn;BR_63;4424,3
A03;SYBR;Unkn;BR_29;4221,3
B03;SYBR;Unkn;BR_42;4319,99
C03;SYBR;Unkn;BR_39;4362,69
D03;SYBR;Unkn;BR_48;4997,05
E03;SYBR;Unkn;BR_43;4918,15
F03;SYBR;Unkn;BR_145;5966,84
G03;SYBR;Unkn;BR_146;4828,69
H03;SYBR;Unkn;BR_NC2;4087,57
A04;SYBR;Unkn;BR_80L;4639,66
B04;SYBR;Unkn;BR_78L;4478,81
C04;SYBR;Unkn;BR_78S;4749,96
D04;SYBR;Unkn;BR_NCA;4290,66
E04;SYBR;Unkn;BR_14L2;4934,65
F04;SYBR;Unkn;BR_14S2;4513,31
G04;SYBR;Unkn;BR_20L2;4383,9
H04;SYBR;Unkn;BR_13S2;4487,14
A05;SYBR;Unkn;BR_NC3;4176,19
B05;SYBR;Unkn;BR_13S;4409,85
C05;SYBR;Unkn;BR_13L;4380,3
D05;SYBR;Unkn;BR_14L;4371,97
E05;SYBR;Unkn;BR_14S;4615,53
F05;SYBR;Unkn;BR_102L;4092,84
G05;SYBR;Unkn;BR_102S;4451,27
H05;SYBR;Unkn;BR_104L;3884,12
A06;SYBR;Unkn;BR_104S;4548,64
B06;SYBR;Unkn;BR_68S;4227,91
C06;SYBR;Unkn;BR_NC4;4723,55
D06;SYBR;Unkn;BR_1;4113,22
E06;SYBR;Unkn;BR_2;4190,65
F06;SYBR;Unkn;BR_3;3992,83
G06;SYBR;Unkn;BR_4;4128,51
H06;SYBR;Unkn;BR_5;4043,51
A07;SYBR;Unkn;BR_NC5;4324,44
B07;SYBR;Unkn;BR_6;4152,97
C07;SYBR;Unkn;BR_7;4107,06
D07;SYBR;Unkn;BR_NCB;4153,02
E07;SYBR;Unkn;BR_8;4635,35
F07;SYBR;Unkn;BR_41;4112,930026
G07;SYBR;Unkn;BR_54.1;3967,9
H07;SYBR;Unkn;BR_54.2;4500,99
A08;SYBR;Unkn;BR_NC6;4261,23
;SYBR;Unkn;BR 0 ng;4286,42
;SYBR;Unkn;BR 0 ng;4391,9
;SYBR;Unkn;BR 0 ng;4508,97
;SYBR;Unkn;BR 0 ng;4500,38
;SYBR;Unkn;BR 100 ng;9429,04
;SYBR;Unkn;BR 100 ng;8867,43
;SYBR;Unkn;BR 100 ng;8861,74
;SYBR;Unkn;BR 100 ng;8699,42
