SampleID;SampleLabel;Notes;Description
NIOZ184.001.002;11;;PE455_S35_DNs_Sn1_062_2019_08_10_MTQ_TT_Silica
NIOZ184.003.004;12;;PE455_S35_DNs_Sn1_063_2019_08_10_MTQ_TT_Silica
NIOZ184.005.006;13;;PE455_S35_DNs_Sn1_064_2019_08_10_MTQ_TT_Silica
NIOZ184.007.008;14;;PE455_S35_DNs_Sn1_065_2019_08_10_MTQ_TT_Silica
NIOZ184.009.010;15;;PE455_S35_DNs_Sn1_066_2019_08_10_MTQ_TT_Silica
NIOZ184.011.012;16;;PE455_S35_DNs_Sf3_062_2019_08_10,MTQ_TT_Silica
NIOZ184.013.014;17;;PE455_S35_DNs_Sf3_063_2019_08_10_MTQ_TT_Silica
NIOZ184.015.016;18;;PE455_S35_DNs_Sf3_064_2019_08_10_MTQ_TT_Silica
NIOZ184.017.018;19;;PE455_S35_DNs_Sf3_065_2019_08_10_MTQ_TT_Silica
NIOZ184.019.020;20;;PE455_S35_DNs_Sf3_066_2019_08_10_MTQ_TT_Silica
NIOZ184.021.022;21;;PE455_S35_DNs_Sn8_058_2019_08_10_MTQ_TT_Silica
NIOZ184.023.024;22;;PE455_S35_DNs_Sn8_059_2019_08_10_MTQ_TT_Silica
NIOZ184.025.026;23;;PE455_S35_DNs_Sn8_060_2019_08_10_MTQ_TT_Silica
NIOZ184.027.028;24;;PE455_S35_DNs_Sn8_061_2019_08_10_MTQ_TT_Silica
NIOZ184.029.030;25;;PE455_S35_DNs_Sn8_062_2019_08_10_MTQ_TT_Silica
NIOZ184.031.032;31;;PE455_S28_DNs_Sf3_046_2019_08_04_TT_Silica
NIOZ184.033.034;32;;PE455_S28_DNs_Sf3_047_2019_08_04_TT_Silica
NIOZ184.035.036;33;;PE455_S28_DNs_Sf3_050_2019_08_04_TT_Silica
NIOZ184.037.038;34;;PE455_S28_DNs_Sf3_048_2019_08_06_TT_Silica
NIOZ184.039.040;35;;PE455_S28_DNs_Sf3_049_2019_08_06_TT_Silica
NIOZ184.041.042;36;;PE455_S28_DNs_Sn1_046_2019_08_06_TT_Silica
NIOZ184.043.044;37;;PE455_S28_DNs_Sn1_047_2019_08_06_TT_Silica
NIOZ184.045.046;38;;PE455_S28_DNs_Sn1_048_2019_08_06_TT_Silica
NIOZ184.047.048;39;;PE455_S28_DNs_Sn1_049_2019_08_06_TT_Silica
NIOZ184.049.050;40;;PE455_S28_DNs_Sn1_050_2019_08_06_TT_Silica
NIOZ184.051.052;41;;PE455_S28_DNs_Sn8_042_2019_08_06_TT_Silica
NIOZ184.053.054;42;;PE455_S28_DNs_Sn8_043_2019_08_06_TT_Silica
NIOZ184.055.056;43;;PE455_S28_DNs_Sn8_044_2019_08_06_TT_Silica
NIOZ184.057.058;44;;PE455_S28_DNs_Sn8_045_2019_08_06_TT_Silica
NIOZ184.059.060;45;;PE455_S28_DNs_Sn8_046_2019_08_06_TT_Silica
NIOZ184.061.062;46;;PE455_S24_DNs_Sn1_041_2019_08_04_TT_Silica
NIOZ184.063.064;47;;PE455_S24_DNs_Sn1_042_2019_08_04_TT_Silica
NIOZ184.065.066;48;;PE455_S24_DNs_Sn1_043_2019_08_04_TT_Silica
NIOZ184.067.068;49;;PE455_S24_DNs_Sn1_044_2019_08_04_TT_Silica
NIOZ184.069.070;50;;PE455_S24_DNs_Sn1_045_2019_08_04_TT_Silica
NIOZ184.071.072;51;;PE455_S24_DNs_Sf3_041_2019_08_04_TT_Silica
NIOZ184.073.074;52;;PE455_S24_DNs_Sf3_042_2019_08_04_TT_Silica
NIOZ184.075.076;53;;PE455_S24_DNs_Sf3_043_2019_08_04_TT_Silica
NIOZ184.077.078;54;;PE455_S24_DNs_Sf3_044_2019_08_04_TT_Silica
NIOZ184.079.080;55;;PE455_S24_DNs_Sf3_045_2019_08_04_TT_Silica
NIOZ184.081.082;56;;PE455_S24_DNs_Sn8_036_2019_08_04_TT_Silica
NIOZ184.083.084;57;;PE455_S24_DNs_Sn8_037_2019_08_04_TT_Silica
NIOZ184.085.086;58;;PE455_S24_DNs_Sn8_038_2019_08_04_TT_Silica
NIOZ184.087.088;59;;PE455_S24_DNs_Sn8_039_2019_08_04_TT_Silica
NIOZ184.089.090;60;;PE455_S24_DNs_Sn8_040_2019_08_04_TT_Silica
NIOZ184.091.092;61;;PE455_S14_DNs_Sn1_016_2019_07_25_TT_Silica
NIOZ184.093.094;62;;PE455_S14_DNs_Sn1_017_2019_07_25_TT_Silica
NIOZ184.095.096;63;;PE455_S14_DNs_Sn1_018_2019_07_25_TT_Silica
NIOZ184.097.098;64;;PE455_S14_DNs_Sn1_019_2019_07_25_TT_Silica
NIOZ184.099.100;65;;PE455_S14_DNs_Sn1_020_2019_07_25_TT_Silica
NIOZ184.101.102;66;;PE455_S14_DNs_Sf3_016_2019_07_25_TT_Silica
NIOZ184.103.104;67;;PE455_S14_DNs_Sf3_017_2019_07_25_TT_Silica
NIOZ184.105.106;68;;PE455_S14_DNs_Sf3_018_2019_07_25_TT_Silica
NIOZ184.107.108;69;;PE455_S14_DNs_Sf3_019_2019_07_25_TT_Silica
NIOZ184.109.110;70;;PE455_S14_DNs_Sf3_020_2019_07_25_TT_Silica
NIOZ184.111.112;71;;PE455_S14_DNs_Sn8_012_2019_07_25_TT_Silica
NIOZ184.113.114;72;;PE455_S14_DNs_Sn8_013_2019_07_25_TT_Silica
NIOZ184.115.116;73;;PE455_S14_DNs_Sn8_014_2019_07_25_TT_Silica
NIOZ184.117.118;74;;PE455_S14_DNs_Sn8_015_2019_07_25_TT_Silica
NIOZ184.119.120;75;;PE455_S14_DNs_Sn8_016_2019_07_25_TT_Silica
NIOZ184.121.122;76;;PE455_S12_DNs_Sn1_011_2019_07_23_TT_Silica
NIOZ184.123.124;77;;PE455_S12_DNs_Sn1_012_2019_07_23_TT_Silica
NIOZ184.125.126;78;;PE455_S12_DNs_Sn1_013_2019_07_23_TT_Silica
NIOZ184.127.128;79;;PE455_S12_DNs_Sn1_014_2019_07_23_TT_Silica
NIOZ184.129.130;80;;PE455_S12_DNs_Sn1_015_2019_07_23_TT_Silica
NIOZ184.131.132;81;;PE455_S12_DNs_Sf3_011_2019_07_23_TT_Silica
NIOZ184.133.134;82;;PE455_S12_DNs_Sf3_012_2019_07_23_TT_Silica
NIOZ184.135.136;83;;PE455_S12_DNs_Sf3_013_2019_07_23_TT_Silica
NIOZ184.137.138;84;;PE455_S12_DNs_Sf3_014_2019_07_23_TT_Silica
NIOZ184.139.140;85;;PE455_S12_DNs_Sf3_015_2019_07_23_TT_Silica
NIOZ184.141.142;86;;PE455_S12_DNs_Sn8_007_2019_07_23_TT_Silica
NIOZ184.143.144;87;;PE455_S12_DNs_Sn8_008_2019_07_23_TT_Silica
NIOZ184.145.146;88;;PE455_S12_DNs_Sn8_009_2019_07_23_TT_Silica
