Forward_primer;Reverse_primer;SampleLabel;Notes;Description
515F_Golay001;806RB_Golay002;11;;PE455_S35_DNs_Sn1_062_2019_08_10_MTQ_TT_Silica
515F_Golay003;806RB_Golay004;12;;PE455_S35_DNs_Sn1_063_2019_08_10_MTQ_TT_Silica
515F_Golay005;806RB_Golay006;13;;PE455_S35_DNs_Sn1_064_2019_08_10_MTQ_TT_Silica
515F_Golay007;806RB_Golay008;14;;PE455_S35_DNs_Sn1_065_2019_08_10_MTQ_TT_Silica
515F_Golay009;806RB_Golay010;15;;PE455_S35_DNs_Sn1_066_2019_08_10_MTQ_TT_Silica
515F_Golay011;806RB_Golay012;16;;PE455_S35_DNs_Sf3_062_2019_08_10,MTQ_TT_Silica
515F_Golay013;806RB_Golay014;17;;PE455_S35_DNs_Sf3_063_2019_08_10_MTQ_TT_Silica
515F_Golay015;806RB_Golay016;18;;PE455_S35_DNs_Sf3_064_2019_08_10_MTQ_TT_Silica
515F_Golay017;806RB_Golay018;19;;PE455_S35_DNs_Sf3_065_2019_08_10_MTQ_TT_Silica
515F_Golay019;806RB_Golay020;20;;PE455_S35_DNs_Sf3_066_2019_08_10_MTQ_TT_Silica
515F_Golay021;806RB_Golay022;21;;PE455_S35_DNs_Sn8_058_2019_08_10_MTQ_TT_Silica
515F_Golay023;806RB_Golay024;22;;PE455_S35_DNs_Sn8_059_2019_08_10_MTQ_TT_Silica
515F_Golay025;806RB_Golay026;23;;PE455_S35_DNs_Sn8_060_2019_08_10_MTQ_TT_Silica
515F_Golay027;806RB_Golay028;24;;PE455_S35_DNs_Sn8_061_2019_08_10_MTQ_TT_Silica
515F_Golay029;806RB_Golay030;25;;PE455_S35_DNs_Sn8_062_2019_08_10_MTQ_TT_Silica
515F_Golay031;806RB_Golay032;31;;PE455_S28_DNs_Sf3_046_2019_08_04_TT_Silica
515F_Golay033;806RB_Golay034;32;;PE455_S28_DNs_Sf3_047_2019_08_04_TT_Silica
515F_Golay035;806RB_Golay036;33;;PE455_S28_DNs_Sf3_050_2019_08_04_TT_Silica
515F_Golay037;806RB_Golay038;34;;PE455_S28_DNs_Sf3_048_2019_08_06_TT_Silica
515F_Golay039;806RB_Golay040;35;;PE455_S28_DNs_Sf3_049_2019_08_06_TT_Silica
515F_Golay041;806RB_Golay042;36;;PE455_S28_DNs_Sn1_046_2019_08_06_TT_Silica
515F_Golay043;806RB_Golay044;37;;PE455_S28_DNs_Sn1_047_2019_08_06_TT_Silica
515F_Golay045;806RB_Golay046;38;;PE455_S28_DNs_Sn1_048_2019_08_06_TT_Silica
515F_Golay047;806RB_Golay048;39;;PE455_S28_DNs_Sn1_049_2019_08_06_TT_Silica
515F_Golay049;806RB_Golay050;40;;PE455_S28_DNs_Sn1_050_2019_08_06_TT_Silica
515F_Golay051;806RB_Golay052;41;;PE455_S28_DNs_Sn8_042_2019_08_06_TT_Silica
515F_Golay053;806RB_Golay054;42;;PE455_S28_DNs_Sn8_043_2019_08_06_TT_Silica
515F_Golay055;806RB_Golay056;43;;PE455_S28_DNs_Sn8_044_2019_08_06_TT_Silica
515F_Golay057;806RB_Golay058;44;;PE455_S28_DNs_Sn8_045_2019_08_06_TT_Silica
515F_Golay059;806RB_Golay060;45;;PE455_S28_DNs_Sn8_046_2019_08_06_TT_Silica
515F_Golay061;806RB_Golay062;46;;PE455_S24_DNs_Sn1_041_2019_08_04_TT_Silica
515F_Golay063;806RB_Golay064;47;;PE455_S24_DNs_Sn1_042_2019_08_04_TT_Silica
515F_Golay065;806RB_Golay066;48;;PE455_S24_DNs_Sn1_043_2019_08_04_TT_Silica
515F_Golay067;806RB_Golay068;49;;PE455_S24_DNs_Sn1_044_2019_08_04_TT_Silica
515F_Golay069;806RB_Golay070;50;;PE455_S24_DNs_Sn1_045_2019_08_04_TT_Silica
515F_Golay071;806RB_Golay072;51;;PE455_S24_DNs_Sf3_041_2019_08_04_TT_Silica
515F_Golay073;806RB_Golay074;52;;PE455_S24_DNs_Sf3_042_2019_08_04_TT_Silica
515F_Golay075;806RB_Golay076;53;;PE455_S24_DNs_Sf3_043_2019_08_04_TT_Silica
515F_Golay077;806RB_Golay078;54;;PE455_S24_DNs_Sf3_044_2019_08_04_TT_Silica
515F_Golay079;806RB_Golay080;55;;PE455_S24_DNs_Sf3_045_2019_08_04_TT_Silica
515F_Golay081;806RB_Golay082;56;;PE455_S24_DNs_Sn8_036_2019_08_04_TT_Silica
515F_Golay083;806RB_Golay084;57;;PE455_S24_DNs_Sn8_037_2019_08_04_TT_Silica
515F_Golay085;806RB_Golay086;58;;PE455_S24_DNs_Sn8_038_2019_08_04_TT_Silica
515F_Golay087;806RB_Golay088;59;;PE455_S24_DNs_Sn8_039_2019_08_04_TT_Silica
515F_Golay089;806RB_Golay090;60;;PE455_S24_DNs_Sn8_040_2019_08_04_TT_Silica
515F_Golay091;806RB_Golay092;61;;PE455_S14_DNs_Sn1_016_2019_07_25_TT_Silica
515F_Golay093;806RB_Golay094;62;;PE455_S14_DNs_Sn1_017_2019_07_25_TT_Silica
515F_Golay095;806RB_Golay096;63;;PE455_S14_DNs_Sn1_018_2019_07_25_TT_Silica
515F_Golay097;806RB_Golay098;64;;PE455_S14_DNs_Sn1_019_2019_07_25_TT_Silica
515F_Golay099;806RB_Golay100;65;;PE455_S14_DNs_Sn1_020_2019_07_25_TT_Silica
515F_Golay101;806RB_Golay102;66;;PE455_S14_DNs_Sf3_016_2019_07_25_TT_Silica
515F_Golay103;806RB_Golay104;67;;PE455_S14_DNs_Sf3_017_2019_07_25_TT_Silica
515F_Golay105;806RB_Golay106;68;;PE455_S14_DNs_Sf3_018_2019_07_25_TT_Silica
515F_Golay107;806RB_Golay108;69;;PE455_S14_DNs_Sf3_019_2019_07_25_TT_Silica
515F_Golay109;806RB_Golay110;70;;PE455_S14_DNs_Sf3_020_2019_07_25_TT_Silica
515F_Golay111;806RB_Golay112;71;;PE455_S14_DNs_Sn8_012_2019_07_25_TT_Silica
515F_Golay113;806RB_Golay114;72;;PE455_S14_DNs_Sn8_013_2019_07_25_TT_Silica
515F_Golay115;806RB_Golay116;73;;PE455_S14_DNs_Sn8_014_2019_07_25_TT_Silica
515F_Golay117;806RB_Golay118;74;;PE455_S14_DNs_Sn8_015_2019_07_25_TT_Silica
515F_Golay119;806RB_Golay120;75;;PE455_S14_DNs_Sn8_016_2019_07_25_TT_Silica
515F_Golay121;806RB_Golay122;76;;PE455_S12_DNs_Sn1_011_2019_07_23_TT_Silica
515F_Golay123;806RB_Golay124;77;;PE455_S12_DNs_Sn1_012_2019_07_23_TT_Silica
515F_Golay125;806RB_Golay126;78;;PE455_S12_DNs_Sn1_013_2019_07_23_TT_Silica
515F_Golay127;806RB_Golay128;79;;PE455_S12_DNs_Sn1_014_2019_07_23_TT_Silica
515F_Golay129;806RB_Golay130;80;;PE455_S12_DNs_Sn1_015_2019_07_23_TT_Silica
515F_Golay131;806RB_Golay132;81;;PE455_S12_DNs_Sf3_011_2019_07_23_TT_Silica
515F_Golay133;806RB_Golay134;82;;PE455_S12_DNs_Sf3_012_2019_07_23_TT_Silica
515F_Golay135;806RB_Golay136;83;;PE455_S12_DNs_Sf3_013_2019_07_23_TT_Silica
515F_Golay137;806RB_Golay138;84;;PE455_S12_DNs_Sf3_014_2019_07_23_TT_Silica
515F_Golay139;806RB_Golay140;85;;PE455_S12_DNs_Sf3_015_2019_07_23_TT_Silica
515F_Golay141;806RB_Golay142;86;;PE455_S12_DNs_Sn8_007_2019_07_23_TT_Silica
515F_Golay143;806RB_Golay144;87;;PE455_S12_DNs_Sn8_008_2019_07_23_TT_Silica
515F_Golay145;806RB_Golay146;88;;PE455_S12_DNs_Sn8_009_2019_07_23_TT_Silica
515F_Golay147;806RB_Golay148;89;;PE455_S12_DNs_Sn8_010_2019_07_23_TT_Silica
515F_Golay149;806RB_Golay150;90;;PE455_S12_DNs_Sn8_011_2019_07_23_TT_Silica
515F_Golay151;806RB_Golay152;91;;CEMIE_E1_20419969_5_1_SnI
515F_Golay153;806RB_Golay154;92;;CEMIE_E2_20419969_5_1_SnI
515F_Golay155;806RB_Golay156;93;;CEMIE_E7_20419969_4_30_SnI
515F_Golay157;806RB_Golay158;94;;CEMIE_E21_20419969_5_1_SnI
515F_Golay159;806RB_Golay160;95;;CEMIE_E24_20419969_4_30_SnI
515F_Golay161;806RB_Golay162;96;;CEMIE_E1_20419969_5_1_SfIII
515F_Golay163;806RB_Golay164;97;;CEMIE_E2_20419969_5_1_SfIII
515F_Golay165;806RB_Golay166;98;;CEMIE_E7_20419969_4_30_SfIII
515F_Golay167;806RB_Golay168;99;;CEMIE_E21_20419969_5_1_SfIII
515F_Golay169;806RB_Golay170;100;;CEMIE_E24_20419969_4_30_SfIII
515F_Golay171;806RB_Golay172;101;;CEMIE_E1_20419969_5_1_SnVIII
515F_Golay173;806RB_Golay174;102;;CEMIE_E2_20419969_5_1_SnVIII
515F_Golay175;806RB_Golay176;103;;CEMIE_E7_20419969_4_30_SnVIII
515F_Golay177;806RB_Golay178;104;;CEMIE_E21_20419969_5_1_SnVIII
515F_Golay179;806RB_Golay180;105;;CEMIE_E24_20419969_4_30_SnVIII
515F_Golay181;806RB_Golay182;106;;Florida_BillBags_1_SnI
515F_Golay183;806RB_Golay184;107;;Florida_BillBags_2_SnI
515F_Golay185;806RB_Golay186;108;;Florida_BillBags_3_SnI
515F_Golay187;806RB_Golay188;109;;Florida_BillBags_4_SnI
515F_Golay189;806RB_Golay190;110;;Florida_BillBags_5_SnI
515F_Golay191;806RB_Golay192;111;;Florida_BillBags_1_SfIII
515F_Golay193;806RB_Golay194;112;;Florida_BillBags_2_SfIII
515F_Golay195;806RB_Golay196;113;;Florida_BillBags_3_SfIII
515F_Golay197;806RB_Golay198;114;;Florida_BillBags_4_SfIII
515F_Golay199;806RB_Golay200;115;;Florida_BillBags_5_SfIII
515F_Golay201;806RB_Golay202;116;;Florida_BillBags_1_SnVIII
515F_Golay203;806RB_Golay204;117;;Florida_BillBags_2_SnVIII
515F_Golay205;806RB_Golay206;118;;Florida_BillBags_3_SnVIII
515F_Golay207;806RB_Golay208;119;;Florida_BillBags_4_SnVIII
515F_Golay209;806RB_Golay210;120;;Florida_BillBags_5_SnVIII
515F_Golay211;806RB_Golay212;121;;MEX_CAR_S20_30_9_2018_SnI
515F_Golay213;806RB_Golay214;122;;MEX_CAR_S24_2_10_2018_SnI
515F_Golay215;806RB_Golay216;123;;MEX_CAR_S25_3_10_2018_SnI
515F_Golay217;806RB_Golay218;124;;MEX_CAR_S26_3_10_2018_SnI
515F_Golay219;806RB_Golay220;125;;MEX_CAR_S27_30_9_2018_SnI
515F_Golay221;806RB_Golay222;126;;MEX_CAR_S20_30_9_2018_SfIII
515F_Golay223;806RB_Golay224;127;;MEX_CAR_S24_2_10_2018_SfIII
515F_Golay225;806RB_Golay226;128;;MEX_CAR_S25_3_10_2018_SfIII
515F_Golay227;806RB_Golay228;129;;MEX_CAR_S26_3_10_2018_SfIII
515F_Golay229;806RB_Golay230;130;;MEX_CAR_S27_30_9_2018_SfIII
515F_Golay231;806RB_Golay232;131;;MEX_CAR_S20_30_9_2018_SnVIII
515F_Golay233;806RB_Golay234;132;;MEX_CAR_S25_3_10_2018_SnVIII
515F_Golay235;806RB_Golay236;133;;MEX_CAR_S26_3_10_2018_SnVIII
515F_Golay237;806RB_Golay238;500bpBand_38;500bp_extra_band;500bpBand_38
515F_Golay239;806RB_Golay240;Mock_ZYMO16S;ZYMO_mock_community;Mock_ZYMO16S
515F_Golay241;806RB_Golay242;PCR7mock38_neg;negative_for_sequencing;PCR7mock38_neg
515F_Golay243;806RB_Golay244;PCR6leftover_neg;negative_for_sequencing;PCR6leftover_neg
515F_Golay245;806RB_Golay246;PCR5_neg;negative_for_sequencing;PCR5_neg
515F_Golay247;806RB_Golay248;PCR4_neg;negative_for_sequencing;PCR4_neg
515F_Golay249;806RB_Golay250;PCR3_neg;negative_for_sequencing;PCR3_neg
515F_Golay251;806RB_Golay252;PCR2_neg;negative_for_sequencing;PCR2_neg
515F_Golay253;806RB_Golay254;PCR1_neg;negative_for_sequencing;PCR1_neg
