SampleID;PurificationMethod;TargetedAmpliconSize;Description
NIOZ197.001.252;GelQuant;600bp400bp;1A1P
NIOZ197.003.254;GelQuant;600bp400bp;1A2P
NIOZ197.005.256;GelQuant;600bp400bp;1A3P
NIOZ197.007.002;GelQuant;600bp400bp;1B1P
NIOZ197.009.004;GelQuant;600bp400bp;1B2P
NIOZ197.011.006;GelQuant;600bp400bp;1B3P
NIOZ197.013.008;GelQuant;600bp400bp;1C1P
NIOZ197.015.010;GelQuant;600bp400bp;1C2P
NIOZ197.017.012;GelQuant;600bp400bp;1C3P
NIOZ197.019.014;GelQuant;600bp400bp;2A1P
NIOZ197.021.016;GelQuant;600bp400bp;2A2P
NIOZ197.023.018;GelQuant;600bp400bp;2A3P
NIOZ197.025.020;GelQuant;600bp400bp;2B1P
NIOZ197.027.022;GelQuant;600bp400bp;2B2P
NIOZ197.029.024;GelQuant;600bp400bp;2B3P
NIOZ197.031.026;GelQuant;600bp400bp;2C1P
NIOZ197.033.028;GelQuant;600bp400bp;2C2P
NIOZ197.035.030;GelQuant;600bp400bp;2C3P
NIOZ197.037.032;GelQuant;600bp400bp;3A1P
NIOZ197.039.034;GelQuant;600bp400bp;3A2P
NIOZ197.041.036;GelQuant;600bp400bp;3A3P
NIOZ197.043.038;GelQuant;600bp400bp;3B1P
NIOZ197.045.040;GelQuant;600bp400bp;3B2P
NIOZ197.047.042;GelQuant;600bp400bp;3B3P
NIOZ197.049.044;GelQuant;600bp400bp;3C1P
NIOZ197.051.046;GelQuant;600bp400bp;3C2P
NIOZ197.053.048;GelQuant;600bp400bp;3C3P
NIOZ197.055.050;GelQuant;600bp400bp;4A1P
NIOZ197.057.052;GelQuant;600bp400bp;4A2P
NIOZ197.059.054;GelQuant;600bp400bp;4A3P
NIOZ197.061.056;GelQuant;600bp400bp;4B1P
NIOZ197.063.058;GelQuant;600bp400bp;4B2P
NIOZ197.065.060;GelQuant;600bp400bp;4B3P
NIOZ197.067.062;GelQuant;600bp400bp;4C1P
NIOZ197.069.064;GelQuant;600bp400bp;4C2P
NIOZ197.071.066;GelQuant;600bp400bp;4C3P
NIOZ197.073.068;GelQuant;600bp400bp;5A1P
NIOZ197.075.070;GelQuant;600bp400bp;5A5P
NIOZ197.077.072;GelQuant;600bp400bp;5B1P
NIOZ197.079.074;GelQuant;600bp400bp;5B5P
NIOZ197.081.076;GelQuant;600bp400bp;5C1P
NIOZ197.083.078;GelQuant;600bp400bp;5C5P
NIOZ197.085.080;GelQuant;600bp400bp;1A1B
NIOZ197.087.082;GelQuant;600bp400bp;1A2B
NIOZ197.089.084;GelQuant;600bp400bp;1A3B
NIOZ197.091.086;GelQuant;600bp400bp;1B1B
