Forward_primer;Reverse_primer;PurificationMethod;TargetedAmpliconSize;Description
515F_Golay001;926RBC_Golay252;GelQuant;600bp400bp;1A1P
515F_Golay003;926RBC_Golay254;GelQuant;600bp400bp;1A2P
515F_Golay005;926RBC_Golay256;GelQuant;600bp400bp;1A3P
515F_Golay007;926RBC_Golay002;GelQuant;600bp400bp;1B1P
515F_Golay009;926RBC_Golay004;GelQuant;600bp400bp;1B2P
515F_Golay011;926RBC_Golay006;GelQuant;600bp400bp;1B3P
515F_Golay013;926RBC_Golay008;GelQuant;600bp400bp;1C1P
515F_Golay015;926RBC_Golay010;GelQuant;600bp400bp;1C2P
515F_Golay017;926RBC_Golay012;GelQuant;600bp400bp;1C3P
515F_Golay019;926RBC_Golay014;GelQuant;600bp400bp;2A1P
515F_Golay021;926RBC_Golay016;GelQuant;600bp400bp;2A2P
515F_Golay023;926RBC_Golay018;GelQuant;600bp400bp;2A3P
515F_Golay025;926RBC_Golay020;GelQuant;600bp400bp;2B1P
515F_Golay027;926RBC_Golay022;GelQuant;600bp400bp;2B2P
515F_Golay029;926RBC_Golay024;GelQuant;600bp400bp;2B3P
515F_Golay031;926RBC_Golay026;GelQuant;600bp400bp;2C1P
515F_Golay033;926RBC_Golay028;GelQuant;600bp400bp;2C2P
515F_Golay035;926RBC_Golay030;GelQuant;600bp400bp;2C3P
515F_Golay037;926RBC_Golay032;GelQuant;600bp400bp;3A1P
515F_Golay039;926RBC_Golay034;GelQuant;600bp400bp;3A2P
515F_Golay041;926RBC_Golay036;GelQuant;600bp400bp;3A3P
515F_Golay043;926RBC_Golay038;GelQuant;600bp400bp;3B1P
515F_Golay045;926RBC_Golay040;GelQuant;600bp400bp;3B2P
515F_Golay047;926RBC_Golay042;GelQuant;600bp400bp;3B3P
515F_Golay049;926RBC_Golay044;GelQuant;600bp400bp;3C1P
515F_Golay051;926RBC_Golay046;GelQuant;600bp400bp;3C2P
515F_Golay053;926RBC_Golay048;GelQuant;600bp400bp;3C3P
515F_Golay055;926RBC_Golay050;GelQuant;600bp400bp;4A1P
515F_Golay057;926RBC_Golay052;GelQuant;600bp400bp;4A2P
515F_Golay059;926RBC_Golay054;GelQuant;600bp400bp;4A3P
515F_Golay061;926RBC_Golay056;GelQuant;600bp400bp;4B1P
515F_Golay063;926RBC_Golay058;GelQuant;600bp400bp;4B2P
515F_Golay065;926RBC_Golay060;GelQuant;600bp400bp;4B3P
515F_Golay067;926RBC_Golay062;GelQuant;600bp400bp;4C1P
515F_Golay069;926RBC_Golay064;GelQuant;600bp400bp;4C2P
515F_Golay071;926RBC_Golay066;GelQuant;600bp400bp;4C3P
515F_Golay073;926RBC_Golay068;GelQuant;600bp400bp;5A1P
515F_Golay075;926RBC_Golay070;GelQuant;600bp400bp;5A5P
515F_Golay077;926RBC_Golay072;GelQuant;600bp400bp;5B1P
515F_Golay079;926RBC_Golay074;GelQuant;600bp400bp;5B5P
515F_Golay081;926RBC_Golay076;GelQuant;600bp400bp;5C1P
515F_Golay083;926RBC_Golay078;GelQuant;600bp400bp;5C5P
515F_Golay085;926RBC_Golay080;GelQuant;600bp400bp;1A1B
515F_Golay087;926RBC_Golay082;GelQuant;600bp400bp;1A2B
515F_Golay089;926RBC_Golay084;GelQuant;600bp400bp;1A3B
515F_Golay091;926RBC_Golay086;GelQuant;600bp400bp;1B1B
515F_Golay093;926RBC_Golay088;GelQuant;600bp400bp;1B2B
515F_Golay095;926RBC_Golay090;GelQuant;600bp400bp;1B3B
515F_Golay097;926RBC_Golay092;GelQuant;600bp400bp;1C1B
515F_Golay099;926RBC_Golay094;GelQuant;600bp400bp;1C2B
515F_Golay101;926RBC_Golay096;GelQuant;600bp400bp;1C3B
515F_Golay103;926RBC_Golay098;GelQuant;600bp400bp;2A1B
515F_Golay105;926RBC_Golay100;GelQuant;600bp400bp;2A2B
515F_Golay107;926RBC_Golay102;GelQuant;600bp400bp;2A3B
515F_Golay109;926RBC_Golay104;GelQuant;600bp400bp;2B1B
515F_Golay111;926RBC_Golay106;GelQuant;600bp400bp;2B2B
515F_Golay113;926RBC_Golay108;GelQuant;600bp400bp;2B3B
515F_Golay115;926RBC_Golay110;GelQuant;600bp400bp;2C1B
515F_Golay117;926RBC_Golay112;GelQuant;600bp400bp;2C2B
