Forward_primer;Reverse_primer;Cruise;Station;Depth (m);Type;Name;Lat;Long;Description
515F_Golay001;926RBC_Golay254;64PE437;6;1800;CW;SL20-9;48.4733;?9.9447;64PE437-6-CW
515F_Golay003;926RBC_Golay256;64PE437;13;902;CW;SL20-3;48.5836;?9.943;64PE437-13-CW
515F_Golay005;926RBC_Golay002;64PE437;22;600;CW;SL20-12;48.7003;?10.0734;64PE437-22-CW
515F_Golay007;926RBC_Golay004;64PE453;52;1000;CW;SL20-23;48.68638889;-10.14472222;64PE453-52-CW
515F_Golay009;926RBC_Golay006;64PE453;14;1199;CW;SL20-29;48.62361111;-10.16944444;64PE453-14-CW
515F_Golay011;926RBC_Golay008;64PE453;46;1402;CW;SL20-36;48.68222222;-10.1125;64PE453-46-CW
515F_Golay013;926RBC_Golay010;64PE453;21;1100;CW;SL20-39;48.83694444;-10.02277778;64PE453-21-CW
515F_Golay015;926RBC_Golay012;64PE453;9;1500;CW;SL20-45;48.61416667;-9.961944444;64PE453-9-CW
515F_Golay017;926RBC_Golay014;64PE453;57;2000;CW;SL20-52;48.64944444;-9.964166667;64PE453-57-CW
515F_Golay019;926RBC_Golay016;64PE453;35;1502;CW;SL20-61;48.57472222;-10.12027778;64PE453-35-CW
515F_Golay021;926RBC_Golay018;64PE453;23;2000;CW;SL20-64;48.45056;-10.79111;64PE453-23-CW
515F_Golay023;926RBC_Golay020;64PE453;49;2000;CW;SL20-73;48.51694444;-10.08972222;64PE453-49-CW
515F_Golay025;926RBC_Golay022;64PE421;16;2250;MID;SL20-79;48.155;-10.218;64PE421-16-MID
515F_Golay027;926RBC_Golay024;64PE421;16;1125;ABOVE;SL20-82;48.155;-10.218;64PE421-16-ABOVE
515F_Golay029;926RBC_Golay026;64PE421;49;700;CW;SL20-85;48.644;-10.021;64PE421-49-CW
515F_Golay031;926RBC_Golay028;64PE421;96;1300;CW;SL20-95;48.53;-9.936;64PE421-96-CW
515F_Golay033;926RBC_Golay030;64PE471;4;1000;CW;SL20-101;48.6155;-9.989;64PE471-4-CW
515F_Golay035;926RBC_Golay032;64PE471;5;1000;CW;SL20-113;48.4854;-9.9337;64PE471-5-CW
515F_Golay037;926RBC_Golay034;64PE421;62;500;CW;SL20-116;48.636;-9.954;64PE421-62-CW
515F_Golay039;926RBC_Golay036;64PE437;34;850;CW;SL20-128;48.5999;?9.8867;64PE437-34-CW
515F_Golay041;926RBC_Golay038;64PE437;31;600;CW;SL20-134;48.6208;?9.8293;64PE437-31-CW
515F_Golay043;926RBC_Golay040;64PE437;8;504;CW;SL20-140;48.4735;?10.;64PE437-8-CW
515F_Golay047;926RBC_Golay044;;;;;Negative;;;NTC
515F_Golay049;926RBC_Golay046;64PE437;6;2320;Neph;SL20-2;48.4733;?9.9447;64PE437-6-Neph
515F_Golay051;926RBC_Golay048;64PE437;13;1655;Neph;SL20-20;48.5836;?9.943;64PE437-13-Neph
515F_Golay053;926RBC_Golay050;64PE437;22;965;Neph;SL20-15;48.7003;?10.0734;64PE437-22-Neph
515F_Golay055;926RBC_Golay052;64PE453;52;1399;Neph;SL20-21;48.68638889;-10.14472222;64PE453-52-Neph
515F_Golay057;926RBC_Golay054;64PE453;14;1546;Neph;SL20-26;48.62361111;-10.16944444;64PE453-14-Neph
515F_Golay059;926RBC_Golay056;64PE453;46;1988;Neph;SL20-33;48.68222222;-10.1125;64PE453-46-Neph
515F_Golay061;926RBC_Golay058;64PE453;21;1660;Neph;SL20-42;48.83694444;-10.02277778;64PE453-21-Neph
515F_Golay063;926RBC_Golay060;64PE453;57;2458;Neph;SL20-48;48.64944444;-9.964166667;64PE453-57-Neph
515F_Golay065;926RBC_Golay062;64PE453;9;2235;Neph;SL20-55;48.61416667;-9.961944444;64PE453-9-Neph
515F_Golay067;926RBC_Golay064;64PE453;35;2280;Neph;SL20-58;48.57472222;-10.12027778;64PE453-35-Neph
515F_Golay069;926RBC_Golay066;64PE453;23;2567;Neph;SL20-67;48.45056;-10.79111;64PE453-23-Neph
515F_Golay071;926RBC_Golay068;64PE453;49;2635;Neph;SL20-70;48.51694444;-10.08972222;64PE453-49-Neph
515F_Golay073;926RBC_Golay070;64PE421;49;1374;Neph;SL20-76;48.644;-10.021;64PE421-49-Neph
515F_Golay075;926RBC_Golay072;64PE421;16;3644;Bottom;SL20-88;48.155;-10.218;64PE421-16-Bottom
515F_Golay077;926RBC_Golay074;64PE421;96;2059;Neph;SL20-91;48.53;-9.936;64PE421-96-Neph
515F_Golay079;926RBC_Golay076;64PE471;4;1525;Neph;SL20-98;48.6155;-9.989;64PE471-4-Neph
515F_Golay081;926RBC_Golay078;64PE471;5;2096;Neph;SL20-107;48.4854;-9.9337;64PE471-5-Neph
515F_Golay083;926RBC_Golay080;64PE421;62;1115;Neph;SL20-119;48.636;-9.954;64PE421-62-Neph
515F_Golay085;926RBC_Golay082;64PE437;7;1677;Neph;SL20-122;48.4733;?9.9447;64PE437-7-Neph
515F_Golay087;926RBC_Golay084;64PE437;34;1176;Neph;SL20-125;48.5999;?9.8867;64PE437-34-Neph
515F_Golay089;926RBC_Golay086;64PE437;31;1093;Neph;SL20-131;48.6208;?9.8293;64PE437-31-Neph
515F_Golay091;926RBC_Golay088;64PE437;8;1074;Neph;SL20-137;48.4735;?10.;64PE437-8-Neph
515F_Golay095;926RBC_Golay092;;;;;Negative;;;NTC
515F_Golay097;926RBC_Golay094;64PE471;Blank;;MQ;SL20-112 Blank;;;64PE471-Blank-MQ
515F_Golay099;926RBC_Golay096;64PE471;Blank;;MQ;SL20-104 Blank;;;64PE471-Blank-MQ
515F_Golay101;926RBC_Golay098;64PE471;Blank;;MQ;SL20-32 Blank;;;64PE471-Blank-MQ
515F_Golay111;926RBC_Golay108;;;;;Negative;;;NTC
515F_Golay113;926RBC_Golay110;64PE437;22;600;CW;SL20-12;48.7003;?10.0734;64PE437-22-CW
515F_Golay115;926RBC_Golay112;64PE437;22;600;CW;SL20-13;48.7003;?10.0734;64PE437-22-CW
515F_Golay117;926RBC_Golay114;64PE437;22;600;CW;SL20-14;48.7003;?10.0734;64PE437-22-CW
515F_Golay119;926RBC_Golay116;64PE437;6;1800;CW;SL20-05;48.4733;?9.9447;64PE437-6-CW
515F_Golay121;926RBC_Golay118;64PE437;6;1800;CW;SL20-09;48.4733;?9.9447;64PE437-6-CW
515F_Golay123;926RBC_Golay120;64PE437;6;1800;CW;SL20-19;48.4733;?9.9447;64PE437-6-CW
515F_Golay125;926RBC_Golay122;64PE453;52;1000;CW;SL20-23;48.68638889;-10.14472222;64PE453-52-CW
515F_Golay127;926RBC_Golay124;64PE453;52;1000;CW;SL20-24;48.68638889;-10.14472222;64PE453-52-CW
515F_Golay129;926RBC_Golay126;64PE453;57;2000;CW;SL20-52;48.64944444;-9.964166667;64PE453-57-CW
515F_Golay131;926RBC_Golay128;64PE453;57;2000;CW;SL20-53;48.64944444;-9.964166667;64PE453-57-CW
515F_Golay133;926RBC_Golay130;64PE453;57;2000;CW;SL20-54;48.64944444;-9.964166667;64PE453-57-CW
515F_Golay135;926RBC_Golay132;64PE453;23;2000;CW;SL20-64;48.45056;-10.79111;64PE453-23-CW
515F_Golay137;926RBC_Golay134;64PE453;23;2000;CW;SL20-65;48.45056;-10.79111;64PE453-23-CW
515F_Golay139;926RBC_Golay136;64PE453;23;2000;CW;SL20-66;48.45056;-10.79111;64PE453-23-CW
515F_Golay141;926RBC_Golay138;64PE453;9;1500;CW;SL20-45;48.61416667;-9.961944444;64PE453-9-CW
515F_Golay143;926RBC_Golay140;64PE453;9;1500;CW;SL20-46;48.61416667;-9.961944444;64PE453-9-CW
515F_Golay145;926RBC_Golay142;64PE453;9;1500;CW;SL20-47;48.61416667;-9.961944444;64PE453-9-CW
515F_Golay159;926RBC_Golay156;;;;;Negative;;;NTC
515F_Golay161;926RBC_Golay158;64PE437;22;965;Neph;SL20-15;48.7003;?10.0734;64PE437-22-Neph
515F_Golay163;926RBC_Golay160;64PE437;22;965;Neph;SL20-16;48.7003;?10.0734;64PE437-22-Neph
515F_Golay165;926RBC_Golay162;64PE437;22;965;Neph;SL20-17;48.7003;?10.0734;64PE437-22-Neph
515F_Golay167;926RBC_Golay164;64PE437;22;965;Neph;SL20-18;48.7003;?10.0734;64PE437-22-Neph
515F_Golay169;926RBC_Golay166;64PE437;6;2320;Neph;SL20-02;48.4733;?9.9447;64PE437-6-Neph
515F_Golay171;926RBC_Golay168;64PE437;6;2320;Neph;SL20-06;48.4733;?9.9447;64PE437-6-Neph
515F_Golay173;926RBC_Golay170;64PE453;52;1399;Neph;SL20-21;48.68638889;-10.14472222;64PE453-52-Neph
515F_Golay175;926RBC_Golay172;64PE453;52;1399;Neph;SL20-22;48.68638889;-10.14472222;64PE453-52-Neph
515F_Golay177;926RBC_Golay174;64PE453;52;1399;Neph;SL20-25;48.68638889;-10.14472222;64PE453-52-Neph
515F_Golay179;926RBC_Golay176;64PE453;57;2458;Neph;SL20-48;48.64944444;-9.964166667;64PE453-57-Neph
515F_Golay181;926RBC_Golay178;64PE453;57;2458;Neph;SL20-49;48.64944444;-9.964166667;64PE453-57-Neph
515F_Golay183;926RBC_Golay180;64PE453;57;2458;Neph;SL20-51;48.64944444;-9.964166667;64PE453-57-Neph
515F_Golay185;926RBC_Golay182;64PE453;23;2567;Neph;SL20-67;48.45056;-10.79111;64PE453-23-Neph
515F_Golay187;926RBC_Golay184;64PE453;23;2567;Neph;SL20-68;48.45056;-10.79111;64PE453-23-Neph
515F_Golay189;926RBC_Golay186;64PE453;23;2567;Neph;SL20-69;48.45056;-10.79111;64PE453-23-Neph
515F_Golay191;926RBC_Golay188;64PE453;9;2235;Neph;SL20-55;48.61416667;-9.961944444;64PE453-9-Neph
515F_Golay193;926RBC_Golay190;64PE453;9;2235;Neph;SL20-56;48.61416667;-9.961944444;64PE453-9-Neph
515F_Golay195;926RBC_Golay192;;;;;MOC;;;Mock
515F_Golay197;926RBC_Golay194;64PE453;9;2235;Neph;SL20-57;48.61416667;-9.961944444;64PE453-9-Neph
