Content;Sample;Cq
NTC;NTC;40.09
Std-02;10^6;17.58
Std-02;10^6;18.08
Std-02;10^6;18.31
Unkn-01;BS1 cDNA (g);36.03
Unkn-01;BS1 cDNA (g);35.07
Unkn-01;BS1 cDNA (g);36.13
Unkn-08;BS8 cDNA (g);33.48
Unkn-08;BS8 cDNA (g);33.17
Unkn-08;BS8 cDNA (g);34.15
Unkn-15;BS15 cDNA (g);28.43
Std-03;10^5;23.19
Std-03;10^5;23.55
Std-03;10^5;23.61
Unkn-02;BS2  cDNA (g);33.47
Unkn-02;BS2  cDNA (g);33.55
Unkn-02;BS2  cDNA (g);33.20
Unkn-09;BS9 cDNA (g);35.30
Unkn-09;BS9 cDNA (g);35.26
Unkn-09;BS9 cDNA (g);37.08
Unkn-15;BS15 cDNA (g);28.46
Std-04;10^4;26.62
Std-04;10^4;27.09
Std-04;10^4;27.47
Unkn-03;BS3 cDNA (g);33.49
Unkn-03;BS3 cDNA (g);34.07
Unkn-03;BS3 cDNA (g);33.59
Unkn-10;BS10 cDNA (g);37.67
Unkn-10;BS10 cDNA (g);34.81
Unkn-10;BS10 cDNA (g);35.08
Unkn-15;BS15 cDNA (g);28.67
Std-05;10^3;29.64
Std-05;10^3;30.70
Std-05;10^3;30.75
Unkn-04;BS4  cDNA (g);33.96
Unkn-04;BS4  cDNA (g);34.09
Unkn-04;BS4  cDNA (g);35.01
Unkn-11;BS11 cDNA (g);34.64
Unkn-11;BS11 cDNA (g);35.98
Unkn-11;BS11 cDNA (g);36.19
Unkn-16;BS14 DNA;19.30
Std-06;10^2;34.96
Std-06;10^2;35.08
Std-06;10^2;34.07
Unkn-05;BS5  cDNA (g);33.08
Unkn-05;BS5  cDNA (g);34.85
Unkn-05;BS5  cDNA (g);33.92
Unkn-12;BS12 cDNA (g);33.73
Unkn-12;BS12 cDNA (g);32.68
Unkn-12;BS12 cDNA (g);33.56
Unkn-16;BS14 DNA;19.05
Std-07;10^1;35.96
Std-07;10^1;36.19
Std-07;10^1;35.68
Unkn-06;BS6  cDNA (g);32.84
Unkn-06;BS6  cDNA (g);33.89
Unkn-06;BS6  cDNA (g);33.48
Unkn-13;BS13 cDNA (g);28.37
Unkn-13;BS13 cDNA (g);28.12
Unkn-13;BS13 cDNA (g);28.19
Unkn-16;BS14 DNA;19.03
Unkn-07;BS7  cDNA (g);32.87
Unkn-07;BS7  cDNA (g);32.89
Unkn-07;BS7  cDNA (g);33.44
Unkn-14;BS14 cDNA (g);27.57
Unkn-14;BS14 cDNA (g);27.83
Unkn-14;BS14 cDNA (g);27.82
NTC;NTC;36.49
