Content;Sample;Cq
Std-01;10^7;18.09
Std-01;10^7;18.12
Std-01;10^7;18.52
Unkn-05;BS12 DNA;24.86
Std-02;10^6;23.06
Std-02;10^6;23.40
Std-02;10^6;22.95
Unkn-01;BS8 DNA;25.98
Unkn-01;BS8 DNA;26.00
Unkn-01;BS8 DNA;28.28
Unkn-08;BS8 cDNA (d);27.85
Unkn-08;BS8 cDNA (d);30.18
Unkn-08;BS8 cDNA (d);30.62
Unkn-15;BS15 DNA;22.32
Std-03;10^5;26.10
Std-03;10^5;26.58
Std-03;10^5;27.60
Unkn-02;BS9 DNA;26.05
Unkn-02;BS9 DNA;29.18
Unkn-02;BS9 DNA;30.34
Unkn-09;BS9 cDNA (d);28.71
Unkn-09;BS9 cDNA (d);29.19
Unkn-09;BS9 cDNA (d);29.43
Unkn-15;BS15 DNA;22.31
Std-04;10^4;27.79
Std-04;10^4;27.47
Std-04;10^4;25.96
Unkn-03;BS10 DNA;28.91
Unkn-03;BS10 DNA;29.48
Unkn-03;BS10 DNA;28.63
Unkn-10;BS10 cDNA (d);30.89
Unkn-10;BS10 cDNA (d);30.51
Unkn-10;BS10 cDNA (d);28.79
Unkn-15;BS15 DNA;22.16
Std-05;10^3;27.36
Std-05;10^3;26.64
Std-05;10^3;28.28
Unkn-04;BS11 DNA;26.31
Unkn-04;BS11 DNA;26.37
Unkn-04;BS11 DNA;25.92
Unkn-11;BS11 cDNA (d);28.23
Unkn-11;BS11 cDNA (d);30.31
Unkn-11;BS11 cDNA (d);30.11
Unkn-16;BS15 cDNA;28.64
Std-06;10^2;26.49
Std-06;10^2;28.33
Std-06;10^2;27.11
Unkn;mix;22.14
Unkn-05;BS12 DNA;24.88
Unkn-05;BS12 DNA;25.16
Unkn-12;BS12 cDNA (d);29.73
Unkn-12;BS12 cDNA (d);29.43
Unkn-12;BS12 cDNA (d);27.08
Unkn-16;BS15 cDNA;29.41
Std-07;10^1;27.80
Std-07;10^1;27.98
Std-07;10^1;27.06
Unkn-06;BS13 DNA;22.21
Unkn-06;BS13 DNA;22.23
Unkn-06;BS13 DNA;22.27
Unkn-13;BS13 cDNA (d);29.34
Unkn-13;BS13 cDNA (d);29.27
Unkn-13;BS13 cDNA (d);28.46
Unkn-16;BS15 cDNA;29.16
Std-08;10^0;26.38
Std-08;10^0;29.39
Std-08;10^0;30.01
Unkn-07;BS14 DNA;22.05
Unkn-07;BS14 DNA;21.88
Unkn-07;BS14 DNA;21.87
Unkn-14;BS14 cDNA (d);29.00
Unkn-14;BS14 cDNA (d);29.17
Unkn-14;BS14 cDNA (d);28.00
NTC;NTC;25.58
