FileName;WellId;Sample Description;From [bp];To [bp];Average Size [bp];Conc. [ng/µl];Region Molarity [nmol/l];% of Total;Region Comment;;;
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;A1;1;380;531;446;0,559;1.94;8.23;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;B1;2;380;531;446;7,24;25.0;38.00;;;;8,908839779
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;C1;3;380;531;444;5,2;18.1;44.17;;;;12,40384615
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;D1;4;380;531;447;20,7;71.3;68.96;;;;3,115942029
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;E1;5;380;531;451;18,1;61.8;68.12;;;;3,563535912
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;F1;Neg_Extr_6;380;531;455;0,0361;0.132;0.52;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;G1;7;380;531;435;12,4;43.9;61.37;;;;5,201612903
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;H1;8;380;531;448;14,4;49.6;56.77;;;;4,479166667
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;A2;9;380;531;453;18,8;63.9;72.39;;;;3,430851064
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;B2;10;380;531;449;17,5;60.2;65.60;;;;3,685714286
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;C2;Neg_Sample_11;380;531;467;0,0164;0.0587;0.09;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;D2;12;380;531;456;18,8;63.6;70.98;;;;3,430851064
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;E2;13;380;531;454;23,5;80.0;66.47;;;;2,744680851
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;F2;14;380;531;449;15,6;53.5;76.39;;;;4,134615385
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;G2;Neg_Sample_15;380;531;450;0,0738;0.257;1.45;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;H2;16;380;531;439;11,3;39.8;49.95;;;;5,707964602
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;A3;17;380;531;444;20,1;70.0;73.81;;;;3,208955224
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;B3;18;380;531;444;22,7;78.8;79.87;;;;2,841409692
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;C3;Neg_Sample_19;380;531;455;0,0338;0.124;0.82;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;D3;20;380;531;441;3,88;13.6;28.05;;;;16,62371134
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;E3;21;380;531;445;28,2;97.8;86.15;;;;2,287234043
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;F3;22;380;531;455;0,0456;0.160;0.31;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;G3;23;380;531;443;30,4;106;78.27;;;;2,121710526
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;H3;Neg_Extr_24;380;531;449;0,0443;0.155;0.75;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;A4;Neg_Sample_25;380;531;460;0,0251;0.0875;0.65;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;B4;26;380;531;449;18,4;63.2;75.13;;;;3,505434783
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;C4;27;380;531;450;0,682;2.35;6.10;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;D4;28;380;531;445;39,6;137;83.52;;;;1,628787879
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;E4;29;380;531;451;32,7;112;82.33;;;;1,972477064
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;F4;30;380;531;437;0,764;2.70;7.63;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;G4;31;380;531;446;1,19;4.12;10.41;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;H4;32;380;531;450;6,84;23.4;24.88;;;;9,429824561
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;A5;33;380;531;451;23,1;79.0;79.49;;;;2,792207792
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;B5;34;380;531;444;25,8;89.5;78.45;;;;2,5
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;C5;35;380;531;454;0,419;1.43;11.23;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;D5;Neg_Extr_36;380;531;456;0,101;0.345;2.03;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;E5;37;380;531;448;18,7;64.4;60.76;;;;3,449197861
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;F5;Neg_Sample_38;380;531;462;0,03;0.104;0.41;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;G5;39;380;531;452;10,1;34.3;33.37;;;;6,386138614
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;H5;40;380;531;451;24,3;83.1;75.41;;;;2,654320988
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;A6;41;380;531;458;17,1;57.6;62.01;;;;3,771929825
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;B6;42;380;531;446;12,9;44.6;59.34;;;;5
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;C6;43;380;531;447;25,9;89.4;81.34;;;;2,49034749
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;D6;44;380;531;449;17,9;61.4;72.63;;;;3,603351955
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;E6;Neg_Sample_45;380;531;454;0,0392;0.141;0.42;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;F6;46;380;531;451;15,6;53.3;74.27;;;;4,134615385
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;G6;47;380;531;449;11,6;39.7;84.66;;;;5,560344828
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;H6;Neg_Extr_48;380;531;458;0,0518;0.181;0.67;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;A7;49;380;531;446;13;45.1;78.96;;;;4,961538462
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;B7;50;380;531;439;13,1;46.0;59.65;;;;4,923664122
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;C7;51;380;531;442;8,53;29.8;69.81;;;;7,561547479
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;D7;52;380;531;442;24,6;86.0;68.61;;;;2,62195122
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;E7;53;380;531;447;16;55.2;75.65;;;;4,03125
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;F7;54;380;531;447;28,5;98.4;84.22;;;;2,263157895
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;G7;55;380;531;448;19,5;67.1;77.74;;;;3,307692308
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;H7;56;380;531;452;14,2;48.4;41.52;;;;4,542253521
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;A8;57;380;531;440;0,856;3.01;5.59;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;B8;58;380;531;454;0,0382;0.139;0.21;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;C8;59;380;531;438;22,1;77.7;80.31;;;;2,918552036
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;D8;Neg_Extr_60;380;531;453;0,0455;0.160;1.26;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;E8;61;380;531;469;0,00726;0.0299;0.22;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;F8;62;380;531;442;3,05;10.7;54.92;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;G8;Neg_Sample_63;380;531;453;0,0296;0.108;0.27;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;H8;64;380;531;438;4,03;14.2;32.82;;;;16,00496278
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;A9;65;380;531;442;11,1;38.8;72.06;;;;5,810810811
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;B9;66;380;531;447;17,7;61.0;65.22;;;;3,644067797
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;C9;67;380;531;440;19,2;67.3;67.13;;;;3,359375
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;D9;68;380;531;454;19,6;66.6;70.21;;;;3,290816327
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;E9;69;380;531;442;0,636;2.23;3.02;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;F9;70;380;531;449;28,8;99.0;74.13;;;;2,239583333
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;G9;71;380;531;451;11,5;39.2;39.64;;;;5,608695652
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;H9;Neg_Extr_72;380;531;448;0,0389;0.139;0.74;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;A10;73;380;531;442;1,01;3.54;19.21;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;B10;74;380;531;444;12,8;44.6;42.52;;;;5,0390625
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;C10;77;380;531;443;23,9;83.3;80.97;;;;2,69874477
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;D10;Neg_Sample_78;380;531;456;0,0346;0.121;0.93;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;E10;79;380;531;441;6,18;21.6;27.21;;;;10,4368932
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;F10;80;380;531;449;22,4;77.0;70.65;;;;2,879464286
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;G10;81;380;531;442;0,831;2.91;3.61;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;H10;Neg_Sample_83;380;531;445;0,0447;0.159;0.56;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;A11;Neg_Extr_84;380;531;451;0,0366;0.129;0.44;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;B11;85;380;531;436;27,7;98.2;86.43;;;;2,328519856
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;C11;Neg_Sample_86;380;531;460;0,0142;0.0530;0.10;;;;20
kwantificatie NIOZ376 - 2023-12-12 - 10.27.14.D1000;D11;Neg_Sample_87;380;531;455;0,0275;0.0972;0.41;;;;20
